"#","Germplasm","Species","Bulked_Fruit_Firmness","Dataset"
"327","FR27T094","Prunus avium","146.3","Sweet_cherry_CRS_phenotyping_2011"
"328","FR27T094","Prunus avium","166","Sweet_cherry_CRS_phenotyping_2012"
"329","FR27T096","Prunus avium","182.4","Sweet_cherry_CRS_phenotyping_2011"
"330","FR27T096","Prunus avium","197.5","Sweet_cherry_CRS_phenotyping_2012"
"331","FR27T097","Prunus avium","175.5","Sweet_cherry_CRS_phenotyping_2011"
"332","FR27T097","Prunus avium","176.9","Sweet_cherry_CRS_phenotyping_2012"
"333","FR27T099","Prunus avium","162.8","Sweet_cherry_CRS_phenotyping_2012"
"334","FR27T099","Prunus avium","196.8","Sweet_cherry_CRS_phenotyping_2011"
"335","FR27T102","Prunus avium","212.8","Sweet_cherry_CRS_phenotyping_2012"
"336","FR28T099","Prunus avium","192.9","Sweet_cherry_CRS_phenotyping_2012"
"337","FR29T073","Prunus avium","83.6","Sweet_cherry_CRS_phenotyping_2011"
"338","FR29T073","Prunus avium","182.8","Sweet_cherry_CRS_phenotyping_2012"
"339","FR29T117","Prunus avium","135.2","Sweet_cherry_CRS_phenotyping_2012"
"340","FR29T118","Prunus avium","141.7","Sweet_cherry_CRS_phenotyping_2012"
"341","FR29T119","Prunus avium","202.9","Sweet_cherry_CRS_phenotyping_2012"
"342","FR29T120","Prunus avium","205.8","Sweet_cherry_CRS_phenotyping_2011"
"343","FR29T120","Prunus avium","218","Sweet_cherry_CRS_phenotyping_2012"
"344","FR29T122","Prunus avium","176","Sweet_cherry_CRS_phenotyping_2011"
"345","FR29T122","Prunus avium","195","Sweet_cherry_CRS_phenotyping_2012"
"346","FR29T124","Prunus avium","155.8","Sweet_cherry_CRS_phenotyping_2012"
"347","FR29T124","Prunus avium","159","Sweet_cherry_CRS_phenotyping_2011"
"348","FR29T126","Prunus avium","204.4","Sweet_cherry_CRS_phenotyping_2012"
"349","FR2T035","Prunus avium","241","Sweet_cherry_CRS_phenotyping_2012"
"350","FR2T035","Prunus avium","304.6","Sweet_cherry_CRS_phenotyping_2011"
"351","FR2T037","Prunus avium","276.1","Sweet_cherry_CRS_phenotyping_2012"
"352","FR2T037","Prunus avium","348.3","Sweet_cherry_CRS_phenotyping_2011"
"353","FR2T038","Prunus avium","263.7","Sweet_cherry_CRS_phenotyping_2012"
"354","FR2T038","Prunus avium","305","Sweet_cherry_CRS_phenotyping_2011"
"355","FR2T040","Prunus avium","411.3","Sweet_cherry_CRS_phenotyping_2011"
"356","FR2T040","Prunus avium","456.7","Sweet_cherry_CRS_phenotyping_2012"
"357","FR2T045","Prunus avium","232.2","Sweet_cherry_CRS_phenotyping_2012"
"358","FR2T045","Prunus avium","281.8","Sweet_cherry_CRS_phenotyping_2011"
"359","FR2T046","Prunus avium","231.6","Sweet_cherry_CRS_phenotyping_2012"
"360","FR2T046","Prunus avium","275.8","Sweet_cherry_CRS_phenotyping_2011"
"361","FR2T048","Prunus avium","232.6","Sweet_cherry_CRS_phenotyping_2012"
"362","FR2T048","Prunus avium","275.4","Sweet_cherry_CRS_phenotyping_2011"
"363","FR2T049","Prunus avium","280.4","Sweet_cherry_CRS_phenotyping_2012"
"364","FR2T049","Prunus avium","298.8","Sweet_cherry_CRS_phenotyping_2011"
"365","FR2T050","Prunus avium","283.2","Sweet_cherry_CRS_phenotyping_2012"
"366","FR2T050","Prunus avium","301.7","Sweet_cherry_CRS_phenotyping_2011"
"367","FR2T054","Prunus avium","304.1","Sweet_cherry_CRS_phenotyping_2012"
"368","FR2T054","Prunus avium","318","Sweet_cherry_CRS_phenotyping_2011"
"369","FR2T057","Prunus avium","302.4","Sweet_cherry_CRS_phenotyping_2011"
"370","FR2T057","Prunus avium","309.4","Sweet_cherry_CRS_phenotyping_2012"
"371","FR2T079","Prunus avium","358.5","Sweet_cherry_CRS_phenotyping_2011"
"372","FR2T079","Prunus avium","370.2","Sweet_cherry_CRS_phenotyping_2012"
"373","FR2T080","Prunus avium","244.7","Sweet_cherry_CRS_phenotyping_2012"
"374","FR2T080","Prunus avium","267","Sweet_cherry_CRS_phenotyping_2011"
"375","FR30T099","Prunus avium","257","Sweet_cherry_CRS_phenotyping_2012"
"376","FR30T099","Prunus avium","364.4","Sweet_cherry_CRS_phenotyping_2011"
"377","FR30T100","Prunus avium","190.9","Sweet_cherry_CRS_phenotyping_2012"
"378","FR30T101","Prunus avium","339.4","Sweet_cherry_CRS_phenotyping_2012"
"379","FR30T102","Prunus avium","213.3","Sweet_cherry_CRS_phenotyping_2012"
"380","FR30T102","Prunus avium","420.7","Sweet_cherry_CRS_phenotyping_2011"
"381","FR30T103","Prunus avium","261.3","Sweet_cherry_CRS_phenotyping_2012"
"382","FR30T105","Prunus avium","339.5","Sweet_cherry_CRS_phenotyping_2012"
"383","FR30T106","Prunus avium","257.6","Sweet_cherry_CRS_phenotyping_2012"
"384","FR30T106","Prunus avium","320.1","Sweet_cherry_CRS_phenotyping_2011"
"385","FR30T107","Prunus avium","212.5","Sweet_cherry_CRS_phenotyping_2012"
"386","FR30T108","Prunus avium","221.8","Sweet_cherry_CRS_phenotyping_2011"
"387","FR30T108","Prunus avium","262.3","Sweet_cherry_CRS_phenotyping_2012"
"388","FR30T109","Prunus avium","363.6","Sweet_cherry_CRS_phenotyping_2012"
"389","FR30T109","Prunus avium","414.2","Sweet_cherry_CRS_phenotyping_2011"
"390","FR31T007","Prunus avium","311.8","Sweet_cherry_CRS_phenotyping_2012"
"391","FR31T007","Prunus avium","371.6","Sweet_cherry_CRS_phenotyping_2011"
"392","FR31T008","Prunus avium","226.7","Sweet_cherry_CRS_phenotyping_2012"
"393","FR31T009","Prunus avium","231.5","Sweet_cherry_CRS_phenotyping_2012"
"394","FR31T010","Prunus avium","212","Sweet_cherry_CRS_phenotyping_2012"
"395","FR31T010","Prunus avium","308.9","Sweet_cherry_CRS_phenotyping_2011"
"396","FR31T011","Prunus avium","222.1","Sweet_cherry_CRS_phenotyping_2012"
"397","FR31T013","Prunus avium","281","Sweet_cherry_CRS_phenotyping_2012"
"398","FR31T014","Prunus avium","161.2","Sweet_cherry_CRS_phenotyping_2012"
"399","FR33T001","Prunus avium","323.5","Sweet_cherry_CRS_phenotyping_2012"
"400","FR33T004","Prunus avium","251.9","Sweet_cherry_CRS_phenotyping_2011"
"401","FR33T004","Prunus avium","399.6","Sweet_cherry_CRS_phenotyping_2012"
"402","FR33T005","Prunus avium","266.7","Sweet_cherry_CRS_phenotyping_2012"
"403","FR33T005","Prunus avium","269.7","Sweet_cherry_CRS_phenotyping_2011"
"404","FR33T006","Prunus avium","268.7","Sweet_cherry_CRS_phenotyping_2011"
"405","FR33T006","Prunus avium","414.6","Sweet_cherry_CRS_phenotyping_2012"
"406","FR33T007","Prunus avium","174.7","Sweet_cherry_CRS_phenotyping_2012"
"407","FR33T008","Prunus avium","158.2","Sweet_cherry_CRS_phenotyping_2012"
"408","FR33T008","Prunus avium","197.8","Sweet_cherry_CRS_phenotyping_2011"
"409","FR33T011","Prunus avium","318.6","Sweet_cherry_CRS_phenotyping_2012"
"410","FR35T101","Prunus avium","157","Sweet_cherry_CRS_phenotyping_2011"
"411","FR35T101","Prunus avium","246.1","Sweet_cherry_CRS_phenotyping_2012"
"412","FR35T102","Prunus avium","241.5","Sweet_cherry_CRS_phenotyping_2012"
"413","FR35T102","Prunus avium","254.1","Sweet_cherry_CRS_phenotyping_2011"
"414","FR35T103","Prunus avium","196.7","Sweet_cherry_CRS_phenotyping_2011"
"415","FR35T103","Prunus avium","261","Sweet_cherry_CRS_phenotyping_2012"
"416","FR35T104","Prunus avium","177","Sweet_cherry_CRS_phenotyping_2012"
"417","FR35T104","Prunus avium","195.7","Sweet_cherry_CRS_phenotyping_2011"
"418","FR35T105","Prunus avium","162.3","Sweet_cherry_CRS_phenotyping_2011"
"419","FR35T105","Prunus avium","205.1","Sweet_cherry_CRS_phenotyping_2012"
"420","FR35T108","Prunus avium","170.5","Sweet_cherry_CRS_phenotyping_2011"
"421","FR35T108","Prunus avium","181.3","Sweet_cherry_CRS_phenotyping_2012"
"422","FR35T110","Prunus avium","189.7","Sweet_cherry_CRS_phenotyping_2011"
"423","FR35T110","Prunus avium","248.3","Sweet_cherry_CRS_phenotyping_2012"
"424","FR38T001","Prunus avium","185.6","Sweet_cherry_CRS_phenotyping_2012"
"425","FR38T002","Prunus avium","202","Sweet_cherry_CRS_phenotyping_2012"
"426","FR38T003","Prunus avium","185.6","Sweet_cherry_CRS_phenotyping_2012"
"427","FR38T005","Prunus avium","161.8","Sweet_cherry_CRS_phenotyping_2012"
"428","FR3T002","Prunus avium","366.4","Sweet_cherry_CRS_phenotyping_2011"
"429","FR3T003","Prunus avium","440.5","Sweet_cherry_CRS_phenotyping_2012"
"430","FR3T003","Prunus avium","614.1","Sweet_cherry_CRS_phenotyping_2011"
"431","FR3T004","Prunus avium","355.7","Sweet_cherry_CRS_phenotyping_2011"
"432","FR3T004","Prunus avium","366.7","Sweet_cherry_CRS_phenotyping_2012"
"433","FR3T005","Prunus avium","297.5","Sweet_cherry_CRS_phenotyping_2012"
"434","FR3T005","Prunus avium","383.6","Sweet_cherry_CRS_phenotyping_2011"
"435","FR3T007","Prunus avium","337.9","Sweet_cherry_CRS_phenotyping_2012"
"436","FR3T007","Prunus avium","378.3","Sweet_cherry_CRS_phenotyping_2011"
"437","FR3T008","Prunus avium","208.5","Sweet_cherry_CRS_phenotyping_2012"
"438","FR3T008","Prunus avium","254.4","Sweet_cherry_CRS_phenotyping_2011"
"439","FR3T009","Prunus avium","268.4","Sweet_cherry_CRS_phenotyping_2011"
"440","FR3T009","Prunus avium","303","Sweet_cherry_CRS_phenotyping_2012"
"441","FR3T011","Prunus avium","308.8","Sweet_cherry_CRS_phenotyping_2012"
"442","FR3T013","Prunus avium","226.2","Sweet_cherry_CRS_phenotyping_2011"
"443","FR3T013","Prunus avium","253.7","Sweet_cherry_CRS_phenotyping_2012"
"444","FR3T014","Prunus avium","215","Sweet_cherry_CRS_phenotyping_2012"
"445","FR3T014","Prunus avium","256.5","Sweet_cherry_CRS_phenotyping_2011"
"446","FR3T015","Prunus avium","329.8","Sweet_cherry_CRS_phenotyping_2012"
"447","FR3T015","Prunus avium","400.2","Sweet_cherry_CRS_phenotyping_2011"
"448","FR3T016","Prunus avium","232.8","Sweet_cherry_CRS_phenotyping_2012"
"449","FR3T016","Prunus avium","368.7","Sweet_cherry_CRS_phenotyping_2011"
"450","FR3T017","Prunus avium","346.2","Sweet_cherry_CRS_phenotyping_2012"
"451","FR3T018","Prunus avium","292.1","Sweet_cherry_CRS_phenotyping_2011"
"452","FR3T018","Prunus avium","321.4","Sweet_cherry_CRS_phenotyping_2012"
"453","FR3T019","Prunus avium","255.6","Sweet_cherry_CRS_phenotyping_2012"
"454","FR3T020","Prunus avium","267.8","Sweet_cherry_CRS_phenotyping_2012"
"455","FR3T020","Prunus avium","301.7","Sweet_cherry_CRS_phenotyping_2011"
"456","FR3T021","Prunus avium","328.1","Sweet_cherry_CRS_phenotyping_2012"
"457","FR3T021","Prunus avium","335","Sweet_cherry_CRS_phenotyping_2011"
"458","FR3T022","Prunus avium","434.3","Sweet_cherry_CRS_phenotyping_2012"
"459","FR3T022","Prunus avium","449.4","Sweet_cherry_CRS_phenotyping_2011"
"460","FR3T023","Prunus avium","201.9","Sweet_cherry_CRS_phenotyping_2011"
"461","FR3T023","Prunus avium","235.1","Sweet_cherry_CRS_phenotyping_2012"
"462","FR3T025","Prunus avium","380.2","Sweet_cherry_CRS_phenotyping_2011"
"463","FR3T025","Prunus avium","380.2","Sweet_cherry_CRS_phenotyping_2012"
"464","FR3T026","Prunus avium","220.1","Sweet_cherry_CRS_phenotyping_2011"
"465","FR3T026","Prunus avium","266.2","Sweet_cherry_CRS_phenotyping_2012"
"466","FR3T027","Prunus avium","203.7","Sweet_cherry_CRS_phenotyping_2011"
"467","FR3T027","Prunus avium","274.2","Sweet_cherry_CRS_phenotyping_2012"
"468","FR3T028","Prunus avium","138.4","Sweet_cherry_CRS_phenotyping_2012"
"469","FR3T029","Prunus avium","153.3","Sweet_cherry_CRS_phenotyping_2012"
"470","FR3T029","Prunus avium","177.7","Sweet_cherry_CRS_phenotyping_2011"
"471","FR3T030","Prunus avium","272.5","Sweet_cherry_CRS_phenotyping_2011"
"472","FR3T030","Prunus avium","282.6","Sweet_cherry_CRS_phenotyping_2012"
"473","FR3T031","Prunus avium","218.2","Sweet_cherry_CRS_phenotyping_2011"
"474","FR3T031","Prunus avium","254.8","Sweet_cherry_CRS_phenotyping_2012"
"475","FR3T032","Prunus avium","241","Sweet_cherry_CRS_phenotyping_2012"
"476","FR3T032","Prunus avium","260","Sweet_cherry_CRS_phenotyping_2011"
"477","FR3T033","Prunus avium","289.9","Sweet_cherry_CRS_phenotyping_2011"
"478","FR3T033","Prunus avium","315.6","Sweet_cherry_CRS_phenotyping_2012"
"479","FR3T034","Prunus avium","275.8","Sweet_cherry_CRS_phenotyping_2012"
"480","FR3T034","Prunus avium","294.9","Sweet_cherry_CRS_phenotyping_2011"
"481","FR3T043","Prunus avium","267.8","Sweet_cherry_CRS_phenotyping_2012"
"482","FR3T043","Prunus avium","372.7","Sweet_cherry_CRS_phenotyping_2011"
"483","FR3T044","Prunus avium","266.3","Sweet_cherry_CRS_phenotyping_2012"
"484","FR3T044","Prunus avium","281.8","Sweet_cherry_CRS_phenotyping_2011"
"485","FR3T046","Prunus avium","200.7","Sweet_cherry_CRS_phenotyping_2011"
"486","FR3T046","Prunus avium","246.1","Sweet_cherry_CRS_phenotyping_2012"
"487","FR3T047","Prunus avium","200.9","Sweet_cherry_CRS_phenotyping_2011"
"488","FR3T047","Prunus avium","230.2","Sweet_cherry_CRS_phenotyping_2012"
"489","FR3T050","Prunus avium","285.7","Sweet_cherry_CRS_phenotyping_2012"
"490","FR3T050","Prunus avium","290.7","Sweet_cherry_CRS_phenotyping_2011"
"491","FR3T056","Prunus avium","210.8","Sweet_cherry_CRS_phenotyping_2012"
"492","FR3T056","Prunus avium","249.5","Sweet_cherry_CRS_phenotyping_2011"
"493","FR3T057","Prunus avium","372.5","Sweet_cherry_CRS_phenotyping_2012"
"494","FR3T057","Prunus avium","395.3","Sweet_cherry_CRS_phenotyping_2011"
"495","FR3T058","Prunus avium","183.9","Sweet_cherry_CRS_phenotyping_2012"
"496","FR3T058","Prunus avium","250.4","Sweet_cherry_CRS_phenotyping_2011"
"497","FR42T001","Prunus avium","191.7","Sweet_cherry_CRS_phenotyping_2011"
"498","FR42T003","Prunus avium","319.7","Sweet_cherry_CRS_phenotyping_2012"
"499","FR42T005","Prunus avium","133.5","Sweet_cherry_CRS_phenotyping_2012"
"500","FR42T007","Prunus avium","229.8","Sweet_cherry_CRS_phenotyping_2012"
"501","FR42T045","Prunus avium","222.6","Sweet_cherry_CRS_phenotyping_2012"
"502","FR42T048","Prunus avium","213.8","Sweet_cherry_CRS_phenotyping_2012"
"503","FR42T048","Prunus avium","269.3","Sweet_cherry_CRS_phenotyping_2011"
"504","FR47T058","Prunus avium","245.9","Sweet_cherry_CRS_phenotyping_2012"
"505","FR47T059","Prunus avium","269.7","Sweet_cherry_CRS_phenotyping_2012"
"506","FR5T019","Prunus avium","286.6","Sweet_cherry_CRS_phenotyping_2012"
"507","FR5T019","Prunus avium","323.4","Sweet_cherry_CRS_phenotyping_2011"
"508","FR5T021","Prunus avium","278.1","Sweet_cherry_CRS_phenotyping_2012"
"509","FR5T021","Prunus avium","316","Sweet_cherry_CRS_phenotyping_2011"
"510","FR5T025","Prunus avium","305.3","Sweet_cherry_CRS_phenotyping_2012"
"511","FR5T025","Prunus avium","389.5","Sweet_cherry_CRS_phenotyping_2011"
"512","FR8T002","Prunus avium","181.4","Sweet_cherry_CRS_phenotyping_2011"
"513","FR8T003","Prunus avium","240.4","Sweet_cherry_CRS_phenotyping_2011"
"514","FR8T003","Prunus avium","243.2","Sweet_cherry_CRS_phenotyping_2012"
"515","FR8T004","Prunus avium","245","Sweet_cherry_CRS_phenotyping_2012"
"516","FR8T005","Prunus avium","149.4","Sweet_cherry_CRS_phenotyping_2012"
"517","FR8T006","Prunus avium","197.3","Sweet_cherry_CRS_phenotyping_2012"
"518","FR8T007","Prunus avium","341.6","Sweet_cherry_CRS_phenotyping_2012"
"519","FR8T010","Prunus avium","240.4","Sweet_cherry_CRS_phenotyping_2012"
"520","FR8T011","Prunus avium","217","Sweet_cherry_CRS_phenotyping_2012"
"521","FR8T011","Prunus avium","221.1","Sweet_cherry_CRS_phenotyping_2011"
"522","FR8T047","Prunus avium","286","Sweet_cherry_CRS_phenotyping_2012"
"523","FR8T053","Prunus avium","253.1","Sweet_cherry_CRS_phenotyping_2012"
"524","FR8T057","Prunus avium","245.3","Sweet_cherry_CRS_phenotyping_2012"
"525","FR8T057","Prunus avium","309.6","Sweet_cherry_CRS_phenotyping_2011"
"526","FR9T031","Prunus avium","194.1","Sweet_cherry_CRS_phenotyping_2012"
"527","FR9T032","Prunus avium","187.5","Sweet_cherry_CRS_phenotyping_2012"
"528","FR9T033","Prunus avium","202.9","Sweet_cherry_CRS_phenotyping_2012"
"529","FR9T034","Prunus avium","186.4","Sweet_cherry_CRS_phenotyping_2012"
"530","FR9T081","Prunus avium","285.5","Sweet_cherry_CRS_phenotyping_2012"
"531","FR9T081","Prunus avium","322.8","Sweet_cherry_CRS_phenotyping_2011"
"532","FR9T083","Prunus avium","307","Sweet_cherry_CRS_phenotyping_2012"
"533","FR9T083","Prunus avium","390.7","Sweet_cherry_CRS_phenotyping_2011"
"534","FR9T084","Prunus avium","271","Sweet_cherry_CRS_phenotyping_2011"
"535","FR9T084","Prunus avium","273.8","Sweet_cherry_CRS_phenotyping_2012"
"536","FR9T085","Prunus avium","402.1","Sweet_cherry_CRS_phenotyping_2012"
"537","FR9T085","Prunus avium","457.8","Sweet_cherry_CRS_phenotyping_2011"
"538","FR9T086","Prunus avium","283.6","Sweet_cherry_CRS_phenotyping_2012"
"539","FR9T086","Prunus avium","336.2","Sweet_cherry_CRS_phenotyping_2011"
"540","FR9T087","Prunus avium","237.9","Sweet_cherry_CRS_phenotyping_2012"
"541","FR9T087","Prunus avium","255.1","Sweet_cherry_CRS_phenotyping_2011"
"542","FR9T096","Prunus avium","218.1","Sweet_cherry_CRS_phenotyping_2012"
"543","FR9T097","Prunus avium","257.6","Sweet_cherry_CRS_phenotyping_2012"
"544","FR9T097","Prunus avium","290.7","Sweet_cherry_CRS_phenotyping_2011"
"545","FR9T098","Prunus avium","245.2","Sweet_cherry_CRS_phenotyping_2011"
"546","FR9T098","Prunus avium","252.8","Sweet_cherry_CRS_phenotyping_2012"
"547","Unk10-Sdlg","Prunus avium","253","Sweet_cherry_CRS_phenotyping_2011"
"548","Unk11-Sdlg","Prunus avium","162.1","Sweet_cherry_CRS_phenotyping_2011"
"549","Unk11-Sdlg","Prunus avium","196.8","Sweet_cherry_CRS_phenotyping_2012"
"550","Unk12-Sdlg","Prunus avium","256","Sweet_cherry_CRS_phenotyping_2012"
"551","Unk14-Sdlg","Prunus avium","335.8","Sweet_cherry_CRS_phenotyping_2012"
"552","Unk15-Sdlg","Prunus avium","171.3","Sweet_cherry_CRS_phenotyping_2012"
"553","Unk15-Sdlg","Prunus avium","202.6","Sweet_cherry_CRS_phenotyping_2011"
"554","Unk16-Sdlg","Prunus avium","304.8","Sweet_cherry_CRS_phenotyping_2012"
"555","Unk16-Sdlg","Prunus avium","312.9","Sweet_cherry_CRS_phenotyping_2011"
"556","Unk1-Sdlg","Prunus avium","193.8","Sweet_cherry_CRS_phenotyping_2012"
"557","Unk20-Sdlg","Prunus avium","225.3","Sweet_cherry_CRS_phenotyping_2011"
"558","Unk22-Sdlg","Prunus avium","11.1","Sweet_cherry_CRS_phenotyping_2012"
"559","Unk23-Sdlg","Prunus avium","249","Sweet_cherry_CRS_phenotyping_2012"
"560","Unk25-Sdlg","Prunus avium","164.7","Sweet_cherry_CRS_phenotyping_2012"
"561","Unk25-Sdlg","Prunus avium","436.1","Sweet_cherry_CRS_phenotyping_2011"
"562","Unk6-Sdlg","Prunus avium","139.1","Sweet_cherry_CRS_phenotyping_2012"
"563","Unk9-Sdlg","Prunus avium","289.8","Sweet_cherry_CRS_phenotyping_2012"
"564","Emperor Francis","Prunus avium","284.1","Sweet_cherry_CRS_phenotyping_2012"
"565","Emperor Francis","Prunus avium","318.5","Sweet_cherry_CRS_phenotyping_2011"
"566","Black Republican","Prunus avium","299","Sweet_cherry_CRS_phenotyping_2012"
"567","Black Republican","Prunus avium","357.4","Sweet_cherry_CRS_phenotyping_2011"
"568","Krupnoplodnaya","Prunus avium","248.8","Sweet_cherry_CRS_phenotyping_2012"
"569","Venus","Prunus avium","171.2","Sweet_cherry_CRS_phenotyping_2012"
"570","Venus","Prunus avium","202","Sweet_cherry_CRS_phenotyping_2011"
"571","Moreau","Prunus avium","169","Sweet_cherry_CRS_phenotyping_2012"
"572","Moreau","Prunus avium","208.8","Sweet_cherry_CRS_phenotyping_2011"
"573","Index","Prunus avium","241","Sweet_cherry_CRS_phenotyping_2012"
"574","Index","Prunus avium","294.9","Sweet_cherry_CRS_phenotyping_2011"
"575","Sunburst","Prunus avium","217.3","Sweet_cherry_CRS_phenotyping_2012"
"576","Sunburst","Prunus avium","220.7","Sweet_cherry_CRS_phenotyping_2011"
