"#","Germplasm","Species","TA","Dataset"
"326","FR2T050","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2011"
"327","FR2T054","Prunus avium","0.59","Sweet_cherry_CRS_phenotyping_2010"
"328","FR2T054","Prunus avium","0.66","Sweet_cherry_CRS_phenotyping_2012"
"329","FR2T054","Prunus avium","0.67","Sweet_cherry_CRS_phenotyping_2011"
"330","FR2T057","Prunus avium","0.41","Sweet_cherry_CRS_phenotyping_2010"
"331","FR2T057","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2012"
"332","FR2T079","Prunus avium","0.91","Sweet_cherry_CRS_phenotyping_2012"
"333","FR2T079","Prunus avium","0.94","Sweet_cherry_CRS_phenotyping_2010"
"334","FR2T080","Prunus avium","0.76","Sweet_cherry_CRS_phenotyping_2012"
"335","FR2T080","Prunus avium","0.89","Sweet_cherry_CRS_phenotyping_2010"
"336","FR2T080","Prunus avium","0.89","Sweet_cherry_CRS_phenotyping_2011"
"337","FR30T099","Prunus avium","0.75","Sweet_cherry_CRS_phenotyping_2012"
"338","FR30T100","Prunus avium","0.41","Sweet_cherry_CRS_phenotyping_2012"
"339","FR30T101","Prunus avium","0.81","Sweet_cherry_CRS_phenotyping_2012"
"340","FR30T102","Prunus avium","0.61","Sweet_cherry_CRS_phenotyping_2012"
"341","FR30T103","Prunus avium","0.8","Sweet_cherry_CRS_phenotyping_2012"
"342","FR30T105","Prunus avium","0.94","Sweet_cherry_CRS_phenotyping_2012"
"343","FR30T106","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2011"
"344","FR30T106","Prunus avium","0.64","Sweet_cherry_CRS_phenotyping_2012"
"345","FR30T107","Prunus avium","1.03","Sweet_cherry_CRS_phenotyping_2012"
"346","FR30T108","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2012"
"347","FR30T109","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2012"
"348","FR31T007","Prunus avium","0.91","Sweet_cherry_CRS_phenotyping_2012"
"349","FR31T008","Prunus avium","0.61","Sweet_cherry_CRS_phenotyping_2012"
"350","FR31T009","Prunus avium","0.77","Sweet_cherry_CRS_phenotyping_2012"
"351","FR31T010","Prunus avium","0.64","Sweet_cherry_CRS_phenotyping_2011"
"352","FR31T011","Prunus avium","0.71","Sweet_cherry_CRS_phenotyping_2012"
"353","FR31T014","Prunus avium","0.82","Sweet_cherry_CRS_phenotyping_2012"
"354","FR33T001","Prunus avium","0.74","Sweet_cherry_CRS_phenotyping_2012"
"355","FR33T004","Prunus avium","0.66","Sweet_cherry_CRS_phenotyping_2012"
"356","FR33T005","Prunus avium","0.61","Sweet_cherry_CRS_phenotyping_2011"
"357","FR33T005","Prunus avium","0.72","Sweet_cherry_CRS_phenotyping_2012"
"358","FR33T006","Prunus avium","0.66","Sweet_cherry_CRS_phenotyping_2012"
"359","FR33T007","Prunus avium","0.64","Sweet_cherry_CRS_phenotyping_2012"
"360","FR33T008","Prunus avium","0.87","Sweet_cherry_CRS_phenotyping_2012"
"361","FR33T011","Prunus avium","0.71","Sweet_cherry_CRS_phenotyping_2012"
"362","FR35T101","Prunus avium","0.76","Sweet_cherry_CRS_phenotyping_2012"
"363","FR35T102","Prunus avium","0.76","Sweet_cherry_CRS_phenotyping_2012"
"364","FR35T102","Prunus avium","0.8","Sweet_cherry_CRS_phenotyping_2011"
"365","FR35T103","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2012"
"366","FR35T103","Prunus avium","0.73","Sweet_cherry_CRS_phenotyping_2011"
"367","FR35T110","Prunus avium","0.64","Sweet_cherry_CRS_phenotyping_2012"
"368","FR38T001","Prunus avium","0.92","Sweet_cherry_CRS_phenotyping_2012"
"369","FR38T002","Prunus avium","0.62","Sweet_cherry_CRS_phenotyping_2012"
"370","FR38T003","Prunus avium","0.89","Sweet_cherry_CRS_phenotyping_2012"
"371","FR38T005","Prunus avium","0.83","Sweet_cherry_CRS_phenotyping_2012"
"372","FR3T002","Prunus avium","0.75","Sweet_cherry_CRS_phenotyping_2011"
"373","FR3T002","Prunus avium","0.84","Sweet_cherry_CRS_phenotyping_2012"
"374","FR3T002","Prunus avium","0.89","Sweet_cherry_CRS_phenotyping_2010"
"375","FR3T003","Prunus avium","0.8","Sweet_cherry_CRS_phenotyping_2012"
"376","FR3T004","Prunus avium","0.53","Sweet_cherry_CRS_phenotyping_2010"
"377","FR3T004","Prunus avium","0.72","Sweet_cherry_CRS_phenotyping_2012"
"378","FR3T005","Prunus avium","0.83","Sweet_cherry_CRS_phenotyping_2012"
"379","FR3T007","Prunus avium","0.74","Sweet_cherry_CRS_phenotyping_2012"
"380","FR3T008","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2012"
"381","FR3T009","Prunus avium","0.77","Sweet_cherry_CRS_phenotyping_2012"
"382","FR3T009","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2011"
"383","FR3T013","Prunus avium","0.5","Sweet_cherry_CRS_phenotyping_2012"
"384","FR3T013","Prunus avium","0.63","Sweet_cherry_CRS_phenotyping_2011"
"385","FR3T014","Prunus avium","0.45","Sweet_cherry_CRS_phenotyping_2010"
"386","FR3T015","Prunus avium","0.81","Sweet_cherry_CRS_phenotyping_2011"
"387","FR3T015","Prunus avium","0.89","Sweet_cherry_CRS_phenotyping_2012"
"388","FR3T016","Prunus avium","0.65","Sweet_cherry_CRS_phenotyping_2011"
"389","FR3T016","Prunus avium","0.72","Sweet_cherry_CRS_phenotyping_2012"
"390","FR3T016","Prunus avium","0.78","Sweet_cherry_CRS_phenotyping_2010"
"391","FR3T017","Prunus avium","0.96","Sweet_cherry_CRS_phenotyping_2012"
"392","FR3T018","Prunus avium","0.54","Sweet_cherry_CRS_phenotyping_2011"
"393","FR3T018","Prunus avium","0.59","Sweet_cherry_CRS_phenotyping_2010"
"394","FR3T018","Prunus avium","0.61","Sweet_cherry_CRS_phenotyping_2012"
"395","FR3T019","Prunus avium","0.67","Sweet_cherry_CRS_phenotyping_2012"
"396","FR3T020","Prunus avium","0.63","Sweet_cherry_CRS_phenotyping_2012"
"397","FR3T020","Prunus avium","0.81","Sweet_cherry_CRS_phenotyping_2010"
"398","FR3T020","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2011"
"399","FR3T021","Prunus avium","0.82","Sweet_cherry_CRS_phenotyping_2012"
"400","FR3T021","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2010"
"401","FR3T021","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2011"
"402","FR3T022","Prunus avium","0.61","Sweet_cherry_CRS_phenotyping_2011"
"403","FR3T022","Prunus avium","0.96","Sweet_cherry_CRS_phenotyping_2012"
"404","FR3T023","Prunus avium","0.66","Sweet_cherry_CRS_phenotyping_2012"
"405","FR3T023","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2011"
"406","FR3T025","Prunus avium","0.71","Sweet_cherry_CRS_phenotyping_2012"
"407","FR3T025","Prunus avium","0.86","Sweet_cherry_CRS_phenotyping_2010"
"408","FR3T025","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2011"
"409","FR3T026","Prunus avium","0.62","Sweet_cherry_CRS_phenotyping_2012"
"410","FR3T027","Prunus avium","0.77","Sweet_cherry_CRS_phenotyping_2011"
"411","FR3T027","Prunus avium","0.78","Sweet_cherry_CRS_phenotyping_2012"
"412","FR3T028","Prunus avium","0.54","Sweet_cherry_CRS_phenotyping_2012"
"413","FR3T029","Prunus avium","0.54","Sweet_cherry_CRS_phenotyping_2012"
"414","FR3T029","Prunus avium","0.61","Sweet_cherry_CRS_phenotyping_2011"
"415","FR3T029","Prunus avium","0.88","Sweet_cherry_CRS_phenotyping_2010"
"416","FR3T030","Prunus avium","0.71","Sweet_cherry_CRS_phenotyping_2012"
"417","FR3T030","Prunus avium","0.77","Sweet_cherry_CRS_phenotyping_2011"
"418","FR3T031","Prunus avium","0.59","Sweet_cherry_CRS_phenotyping_2012"
"419","FR3T031","Prunus avium","0.77","Sweet_cherry_CRS_phenotyping_2011"
"420","FR3T032","Prunus avium","0.76","Sweet_cherry_CRS_phenotyping_2012"
"421","FR3T033","Prunus avium","0.72","Sweet_cherry_CRS_phenotyping_2012"
"422","FR3T034","Prunus avium","0.82","Sweet_cherry_CRS_phenotyping_2012"
"423","FR3T043","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2012"
"424","FR3T043","Prunus avium","0.75","Sweet_cherry_CRS_phenotyping_2010"
"425","FR3T043","Prunus avium","0.75","Sweet_cherry_CRS_phenotyping_2011"
"426","FR3T044","Prunus avium","0.75","Sweet_cherry_CRS_phenotyping_2012"
"427","FR3T044","Prunus avium","0.88","Sweet_cherry_CRS_phenotyping_2011"
"428","FR3T046","Prunus avium","0.46","Sweet_cherry_CRS_phenotyping_2012"
"429","FR3T046","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2011"
"430","FR3T047","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2012"
"431","FR3T047","Prunus avium","0.6","Sweet_cherry_CRS_phenotyping_2011"
"432","FR3T050","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2012"
"433","FR3T050","Prunus avium","0.6","Sweet_cherry_CRS_phenotyping_2011"
"434","FR3T050","Prunus avium","0.73","Sweet_cherry_CRS_phenotyping_2010"
"435","FR3T056","Prunus avium","0.42","Sweet_cherry_CRS_phenotyping_2011"
"436","FR3T056","Prunus avium","0.47","Sweet_cherry_CRS_phenotyping_2012"
"437","FR3T057","Prunus avium","0.65","Sweet_cherry_CRS_phenotyping_2011"
"438","FR3T057","Prunus avium","0.7","Sweet_cherry_CRS_phenotyping_2012"
"439","FR3T058","Prunus avium","0.72","Sweet_cherry_CRS_phenotyping_2012"
"440","FR3T058","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2011"
"441","FR42T003","Prunus avium","0.74","Sweet_cherry_CRS_phenotyping_2012"
"442","FR42T007","Prunus avium","0.71","Sweet_cherry_CRS_phenotyping_2012"
"443","FR42T045","Prunus avium","0.4","Sweet_cherry_CRS_phenotyping_2012"
"444","FR42T048","Prunus avium","0.75","Sweet_cherry_CRS_phenotyping_2012"
"445","FR47T058","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"446","FR47T059","Prunus avium","0.88","Sweet_cherry_CRS_phenotyping_2012"
"447","FR5T019","Prunus avium","0.55","Sweet_cherry_CRS_phenotyping_2012"
"448","FR5T019","Prunus avium","0.69","Sweet_cherry_CRS_phenotyping_2011"
"449","FR5T021","Prunus avium","0.58","Sweet_cherry_CRS_phenotyping_2012"
"450","FR5T021","Prunus avium","0.68","Sweet_cherry_CRS_phenotyping_2011"
"451","FR5T025","Prunus avium","1.05","Sweet_cherry_CRS_phenotyping_2012"
"452","FR8T003","Prunus avium","0.84","Sweet_cherry_CRS_phenotyping_2012"
"453","FR8T004","Prunus avium","0.72","Sweet_cherry_CRS_phenotyping_2012"
"454","FR8T007","Prunus avium","0.82","Sweet_cherry_CRS_phenotyping_2012"
"455","FR8T010","Prunus avium","0.64","Sweet_cherry_CRS_phenotyping_2012"
"456","FR8T011","Prunus avium","0.54","Sweet_cherry_CRS_phenotyping_2011"
"457","FR8T011","Prunus avium","0.78","Sweet_cherry_CRS_phenotyping_2012"
"458","FR8T053","Prunus avium","0.81","Sweet_cherry_CRS_phenotyping_2012"
"459","FR8T057","Prunus avium","0.62","Sweet_cherry_CRS_phenotyping_2012"
"460","FR9T031","Prunus avium","0.59","Sweet_cherry_CRS_phenotyping_2012"
"461","FR9T032","Prunus avium","0.45","Sweet_cherry_CRS_phenotyping_2011"
"462","FR9T032","Prunus avium","0.76","Sweet_cherry_CRS_phenotyping_2012"
"463","FR9T034","Prunus avium","0.88","Sweet_cherry_CRS_phenotyping_2012"
"464","FR9T081","Prunus avium","0.6","Sweet_cherry_CRS_phenotyping_2011"
"465","FR9T081","Prunus avium","0.8","Sweet_cherry_CRS_phenotyping_2012"
"466","FR9T083","Prunus avium","0.68","Sweet_cherry_CRS_phenotyping_2011"
"467","FR9T083","Prunus avium","0.75","Sweet_cherry_CRS_phenotyping_2012"
"468","FR9T085","Prunus avium","0.41","Sweet_cherry_CRS_phenotyping_2011"
"469","FR9T085","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2012"
"470","FR9T086","Prunus avium","0.89","Sweet_cherry_CRS_phenotyping_2011"
"471","FR9T086","Prunus avium","0.99","Sweet_cherry_CRS_phenotyping_2012"
"472","FR9T087","Prunus avium","0.44","Sweet_cherry_CRS_phenotyping_2011"
"473","FR9T087","Prunus avium","0.6","Sweet_cherry_CRS_phenotyping_2012"
"474","FR9T096","Prunus avium","0.51","Sweet_cherry_CRS_phenotyping_2012"
"475","FR9T097","Prunus avium","0.85","Sweet_cherry_CRS_phenotyping_2011"
"476","FR9T097","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2012"
"477","FR9T098","Prunus avium","0.84","Sweet_cherry_CRS_phenotyping_2011"
"478","FR9T098","Prunus avium","0.88","Sweet_cherry_CRS_phenotyping_2012"
"479","PC 9816-005","Prunus avium","0.83","Sweet_cherry_CRS_phenotyping_2010"
"480","PC 9816-023","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2010"
"481","PC 9816-041","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2010"
"482","PC 9816-059","Prunus avium","0.94","Sweet_cherry_CRS_phenotyping_2010"
"483","PC 9816-083","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2010"
"484","PC 9816-103","Prunus avium","0.81","Sweet_cherry_CRS_phenotyping_2010"
"485","PC 9816-105","Prunus avium","0.97","Sweet_cherry_CRS_phenotyping_2010"
"486","PC 9816-106","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2010"
"487","PC 9816-078","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2010"
"488","PC 9819-005","Prunus avium","0.97","Sweet_cherry_CRS_phenotyping_2010"
"489","PC 9819-038","Prunus avium","0.76","Sweet_cherry_CRS_phenotyping_2010"
"490","PC 9814-025","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2010"
"491","PC 9814-105","Prunus avium","0.96","Sweet_cherry_CRS_phenotyping_2010"
"492","PC 9814-028","Prunus avium","0.73","Sweet_cherry_CRS_phenotyping_2010"
"493","PC 9814-062","Prunus avium","0.94","Sweet_cherry_CRS_phenotyping_2010"
"494","PC 9814-071","Prunus avium","0.96","Sweet_cherry_CRS_phenotyping_2010"
"495","PC 9819-034","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2010"
"496","Unk10-Sdlg","Prunus avium","0.76","Sweet_cherry_CRS_phenotyping_2011"
"497","Unk10-Sdlg","Prunus avium","0.91","Sweet_cherry_CRS_phenotyping_2012"
"498","Unk11-Sdlg","Prunus avium","0.51","Sweet_cherry_CRS_phenotyping_2011"
"499","Unk11-Sdlg","Prunus avium","0.52","Sweet_cherry_CRS_phenotyping_2012"
"500","Unk12-Sdlg","Prunus avium","1.06","Sweet_cherry_CRS_phenotyping_2012"
"501","Unk14-Sdlg","Prunus avium","0.72","Sweet_cherry_CRS_phenotyping_2012"
"502","Unk15-Sdlg","Prunus avium","0.83","Sweet_cherry_CRS_phenotyping_2012"
"503","Unk15-Sdlg","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2010"
"504","Unk15-Sdlg","Prunus avium","0.9","Sweet_cherry_CRS_phenotyping_2011"
"505","Unk16-Sdlg","Prunus avium","0.57","Sweet_cherry_CRS_phenotyping_2012"
"506","Unk17-Sdlg","Prunus avium","0.7","Sweet_cherry_CRS_phenotyping_2010"
"507","Unk23-Sdlg","Prunus avium","0.77","Sweet_cherry_CRS_phenotyping_2012"
"508","Unk9-Sdlg","Prunus avium","0.95","Sweet_cherry_CRS_phenotyping_2012"
"509","Emperor Francis","Prunus avium","0.76","Sweet_cherry_CRS_phenotyping_2012"
"510","Emperor Francis","Prunus avium","0.91","Sweet_cherry_CRS_phenotyping_2011"
"511","Black Republican","Prunus avium","0.61","Sweet_cherry_CRS_phenotyping_2012"
"512","Black Republican","Prunus avium","0.7","Sweet_cherry_CRS_phenotyping_2011"
"513","Krupnoplodnaya","Prunus avium","0.53","Sweet_cherry_CRS_phenotyping_2012"
"514","Venus","Prunus avium","0.35","Sweet_cherry_CRS_phenotyping_2012"
"515","Venus","Prunus avium","0.98","Sweet_cherry_CRS_phenotyping_2011"
"516","Moreau","Prunus avium","0.74","Sweet_cherry_CRS_phenotyping_2012"
"517","Index","Prunus avium","0.67","Sweet_cherry_CRS_phenotyping_2012"
"518","Index","Prunus avium","0.74","Sweet_cherry_CRS_phenotyping_2010"
"519","Index","Prunus avium","0.81","Sweet_cherry_CRS_phenotyping_2011"
"520","Sunburst","Prunus avium","0.56","Sweet_cherry_CRS_phenotyping_2012"
"521","Sunburst","Prunus avium","0.76","Sweet_cherry_CRS_phenotyping_2011"
