"#","Germplasm","Species","Fruit_Wt","Dataset"
"327","FR22T004","Prunus avium","9.93","Sweet_cherry_CRS_phenotyping_2012"
"328","FR22T006","Prunus avium","7.33","Sweet_cherry_CRS_phenotyping_2012"
"329","FR22T007","Prunus avium","8.28","Sweet_cherry_CRS_phenotyping_2012"
"330","FR23T065","Prunus avium","4.08","Sweet_cherry_CRS_phenotyping_2012"
"331","FR23T067","Prunus avium","3.51","Sweet_cherry_CRS_phenotyping_2012"
"332","FR23T068","Prunus avium","4.13","Sweet_cherry_CRS_phenotyping_2012"
"333","FR23T069","Prunus avium","3.96","Sweet_cherry_CRS_phenotyping_2012"
"334","FR23T072","Prunus avium","4.9","Sweet_cherry_CRS_phenotyping_2012"
"335","FR23T089","Prunus avium","3.78","Sweet_cherry_CRS_phenotyping_2012"
"336","FR23T090","Prunus avium","2.61","Sweet_cherry_CRS_phenotyping_2011"
"337","FR23T090","Prunus avium","4.11","Sweet_cherry_CRS_phenotyping_2012"
"338","FR23T091","Prunus avium","3.95","Sweet_cherry_CRS_phenotyping_2012"
"339","FR23T095","Prunus avium","4.33","Sweet_cherry_CRS_phenotyping_2012"
"340","FR23T113","Prunus avium","6.8","Sweet_cherry_CRS_phenotyping_2012"
"341","FR23T116","Prunus avium","7.18","Sweet_cherry_CRS_phenotyping_2012"
"342","FR23T119","Prunus avium","8.13","Sweet_cherry_CRS_phenotyping_2011"
"343","FR23T120","Prunus avium","7.05","Sweet_cherry_CRS_phenotyping_2012"
"344","FR23T120","Prunus avium","7.42","Sweet_cherry_CRS_phenotyping_2011"
"345","FR23T127","Prunus avium","9.62","Sweet_cherry_CRS_phenotyping_2012"
"346","FR23T128","Prunus avium","8.53","Sweet_cherry_CRS_phenotyping_2012"
"347","FR23T129","Prunus avium","9.45","Sweet_cherry_CRS_phenotyping_2012"
"348","FR23T129","Prunus avium","9.72","Sweet_cherry_CRS_phenotyping_2011"
"349","FR23T130","Prunus avium","9.24","Sweet_cherry_CRS_phenotyping_2012"
"350","FR23T130","Prunus avium","10.37","Sweet_cherry_CRS_phenotyping_2011"
"351","FR23T131","Prunus avium","6.13","Sweet_cherry_CRS_phenotyping_2012"
"352","FR23T131","Prunus avium","8.55","Sweet_cherry_CRS_phenotyping_2011"
"353","FR24T069","Prunus avium","7.12","Sweet_cherry_CRS_phenotyping_2012"
"354","FR24T072","Prunus avium","7.96","Sweet_cherry_CRS_phenotyping_2012"
"355","FR25T081","Prunus avium","8","Sweet_cherry_CRS_phenotyping_2012"
"356","FR25T081","Prunus avium","9.52","Sweet_cherry_CRS_phenotyping_2011"
"357","FR25T084","Prunus avium","9.9","Sweet_cherry_CRS_phenotyping_2012"
"358","FR25T086","Prunus avium","8.37","Sweet_cherry_CRS_phenotyping_2012"
"359","FR25T090","Prunus avium","8.12","Sweet_cherry_CRS_phenotyping_2011"
"360","FR25T090","Prunus avium","9.77","Sweet_cherry_CRS_phenotyping_2012"
"361","FR26T030","Prunus avium","7.14","Sweet_cherry_CRS_phenotyping_2012"
"362","FR26T031","Prunus avium","8.11","Sweet_cherry_CRS_phenotyping_2012"
"363","FR26T033","Prunus avium","9.55","Sweet_cherry_CRS_phenotyping_2011"
"364","FR26T033","Prunus avium","10.12","Sweet_cherry_CRS_phenotyping_2012"
"365","FR26T034","Prunus avium","7.55","Sweet_cherry_CRS_phenotyping_2012"
"366","FR26T034","Prunus avium","9.43","Sweet_cherry_CRS_phenotyping_2011"
"367","FR26T036","Prunus avium","10.3","Sweet_cherry_CRS_phenotyping_2011"
"368","FR26T036","Prunus avium","11.99","Sweet_cherry_CRS_phenotyping_2012"
"369","FR26T037","Prunus avium","10.6","Sweet_cherry_CRS_phenotyping_2011"
"370","FR26T037","Prunus avium","12.38","Sweet_cherry_CRS_phenotyping_2012"
"371","FR26T038","Prunus avium","9.62","Sweet_cherry_CRS_phenotyping_2012"
"372","FR26T038","Prunus avium","10.5","Sweet_cherry_CRS_phenotyping_2011"
"373","FR26T040","Prunus avium","10.01","Sweet_cherry_CRS_phenotyping_2012"
"374","FR27T001","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"375","FR27T001","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2011"
"376","FR27T006","Prunus avium","3.45","Sweet_cherry_CRS_phenotyping_2012"
"377","FR27T007","Prunus avium","4.8","Sweet_cherry_CRS_phenotyping_2012"
"378","FR27T008","Prunus avium","5.14","Sweet_cherry_CRS_phenotyping_2012"
"379","FR27T009","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2011"
"380","FR27T010","Prunus avium","6.1","Sweet_cherry_CRS_phenotyping_2012"
"381","FR27T012","Prunus avium","3.23","Sweet_cherry_CRS_phenotyping_2011"
"382","FR27T012","Prunus avium","5.25","Sweet_cherry_CRS_phenotyping_2012"
"383","FR27T013","Prunus avium","3.92","Sweet_cherry_CRS_phenotyping_2012"
"384","FR27T013","Prunus avium","4.63","Sweet_cherry_CRS_phenotyping_2011"
"385","FR27T014","Prunus avium","4.63","Sweet_cherry_CRS_phenotyping_2011"
"386","FR27T014","Prunus avium","6.32","Sweet_cherry_CRS_phenotyping_2012"
"387","FR27T015","Prunus avium","4.2","Sweet_cherry_CRS_phenotyping_2011"
"388","FR27T015","Prunus avium","4.84","Sweet_cherry_CRS_phenotyping_2012"
"389","FR27T017","Prunus avium","3.9","Sweet_cherry_CRS_phenotyping_2012"
"390","FR27T050","Prunus avium","5.9","Sweet_cherry_CRS_phenotyping_2012"
"391","FR27T051","Prunus avium","8.8","Sweet_cherry_CRS_phenotyping_2012"
"392","FR27T052","Prunus avium","8.33","Sweet_cherry_CRS_phenotyping_2011"
"393","FR27T052","Prunus avium","8.92","Sweet_cherry_CRS_phenotyping_2012"
"394","FR27T053","Prunus avium","4.45","Sweet_cherry_CRS_phenotyping_2012"
"395","FR27T053","Prunus avium","5.03","Sweet_cherry_CRS_phenotyping_2011"
"396","FR27T054","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2011"
"397","FR27T054","Prunus avium","4.83","Sweet_cherry_CRS_phenotyping_2012"
"398","FR27T094","Prunus avium","5.88","Sweet_cherry_CRS_phenotyping_2012"
"399","FR27T094","Prunus avium","6.43","Sweet_cherry_CRS_phenotyping_2011"
"400","FR27T096","Prunus avium","3.32","Sweet_cherry_CRS_phenotyping_2011"
"401","FR27T096","Prunus avium","4.79","Sweet_cherry_CRS_phenotyping_2012"
"402","FR27T097","Prunus avium","2.9","Sweet_cherry_CRS_phenotyping_2011"
"403","FR27T097","Prunus avium","4.38","Sweet_cherry_CRS_phenotyping_2012"
"404","FR27T099","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2011"
"405","FR27T099","Prunus avium","3.57","Sweet_cherry_CRS_phenotyping_2012"
"406","FR27T102","Prunus avium","4.51","Sweet_cherry_CRS_phenotyping_2012"
"407","FR28T099","Prunus avium","3.14","Sweet_cherry_CRS_phenotyping_2012"
"408","FR29T073","Prunus avium","4.55","Sweet_cherry_CRS_phenotyping_2011"
"409","FR29T073","Prunus avium","4.85","Sweet_cherry_CRS_phenotyping_2012"
"410","FR29T117","Prunus avium","3.61","Sweet_cherry_CRS_phenotyping_2012"
"411","FR29T118","Prunus avium","3.5","Sweet_cherry_CRS_phenotyping_2012"
"412","FR29T119","Prunus avium","4.52","Sweet_cherry_CRS_phenotyping_2012"
"413","FR29T120","Prunus avium","3.63","Sweet_cherry_CRS_phenotyping_2011"
"414","FR29T120","Prunus avium","4.85","Sweet_cherry_CRS_phenotyping_2012"
"415","FR29T122","Prunus avium","3.5","Sweet_cherry_CRS_phenotyping_2011"
"416","FR29T122","Prunus avium","5.11","Sweet_cherry_CRS_phenotyping_2012"
"417","FR29T124","Prunus avium","2.45","Sweet_cherry_CRS_phenotyping_2011"
"418","FR29T124","Prunus avium","4.17","Sweet_cherry_CRS_phenotyping_2012"
"419","FR29T126","Prunus avium","5.16","Sweet_cherry_CRS_phenotyping_2012"
"420","FR2T035","Prunus avium","8.85","Sweet_cherry_CRS_phenotyping_2012"
"421","FR2T035","Prunus avium","9","Sweet_cherry_CRS_phenotyping_2010"
"422","FR2T035","Prunus avium","9.7","Sweet_cherry_CRS_phenotyping_2011"
"423","FR2T037","Prunus avium","7.81","Sweet_cherry_CRS_phenotyping_2011"
"424","FR2T037","Prunus avium","8.29","Sweet_cherry_CRS_phenotyping_2010"
"425","FR2T037","Prunus avium","10.21","Sweet_cherry_CRS_phenotyping_2012"
"426","FR2T038","Prunus avium","9.2","Sweet_cherry_CRS_phenotyping_2010"
"427","FR2T038","Prunus avium","9.37","Sweet_cherry_CRS_phenotyping_2011"
"428","FR2T038","Prunus avium","10.96","Sweet_cherry_CRS_phenotyping_2012"
"429","FR2T040","Prunus avium","7.2","Sweet_cherry_CRS_phenotyping_2010"
"430","FR2T040","Prunus avium","7.23","Sweet_cherry_CRS_phenotyping_2011"
"431","FR2T040","Prunus avium","7.45","Sweet_cherry_CRS_phenotyping_2012"
"432","FR2T045","Prunus avium","7.41","Sweet_cherry_CRS_phenotyping_2011"
"433","FR2T045","Prunus avium","8.88","Sweet_cherry_CRS_phenotyping_2010"
"434","FR2T045","Prunus avium","9","Sweet_cherry_CRS_phenotyping_2012"
"435","FR2T046","Prunus avium","11.38","Sweet_cherry_CRS_phenotyping_2011"
"436","FR2T046","Prunus avium","11.46","Sweet_cherry_CRS_phenotyping_2010"
"437","FR2T046","Prunus avium","11.98","Sweet_cherry_CRS_phenotyping_2012"
"438","FR2T048","Prunus avium","7.94","Sweet_cherry_CRS_phenotyping_2011"
"439","FR2T048","Prunus avium","10.7","Sweet_cherry_CRS_phenotyping_2012"
"440","FR2T049","Prunus avium","7.38","Sweet_cherry_CRS_phenotyping_2011"
"441","FR2T049","Prunus avium","8","Sweet_cherry_CRS_phenotyping_2010"
"442","FR2T049","Prunus avium","8.56","Sweet_cherry_CRS_phenotyping_2012"
"443","FR2T050","Prunus avium","7.15","Sweet_cherry_CRS_phenotyping_2011"
"444","FR2T050","Prunus avium","8.16","Sweet_cherry_CRS_phenotyping_2010"
"445","FR2T050","Prunus avium","8.5","Sweet_cherry_CRS_phenotyping_2012"
"446","FR2T054","Prunus avium","7.4","Sweet_cherry_CRS_phenotyping_2011"
"447","FR2T054","Prunus avium","9.47","Sweet_cherry_CRS_phenotyping_2010"
"448","FR2T054","Prunus avium","10.37","Sweet_cherry_CRS_phenotyping_2012"
"449","FR2T057","Prunus avium","8.24","Sweet_cherry_CRS_phenotyping_2012"
"450","FR2T057","Prunus avium","8.3","Sweet_cherry_CRS_phenotyping_2011"
"451","FR2T057","Prunus avium","8.66","Sweet_cherry_CRS_phenotyping_2010"
"452","FR2T079","Prunus avium","7.51","Sweet_cherry_CRS_phenotyping_2010"
"453","FR2T079","Prunus avium","8.2","Sweet_cherry_CRS_phenotyping_2011"
"454","FR2T079","Prunus avium","8.48","Sweet_cherry_CRS_phenotyping_2012"
"455","FR2T080","Prunus avium","8.39","Sweet_cherry_CRS_phenotyping_2010"
"456","FR2T080","Prunus avium","8.4","Sweet_cherry_CRS_phenotyping_2011"
"457","FR2T080","Prunus avium","8.44","Sweet_cherry_CRS_phenotyping_2012"
"458","FR30T099","Prunus avium","4.85","Sweet_cherry_CRS_phenotyping_2011"
"459","FR30T099","Prunus avium","8.22","Sweet_cherry_CRS_phenotyping_2012"
"460","FR30T100","Prunus avium","9.32","Sweet_cherry_CRS_phenotyping_2012"
"461","FR30T101","Prunus avium","11.3","Sweet_cherry_CRS_phenotyping_2012"
"462","FR30T102","Prunus avium","2.45","Sweet_cherry_CRS_phenotyping_2011"
"463","FR30T102","Prunus avium","8.84","Sweet_cherry_CRS_phenotyping_2012"
"464","FR30T103","Prunus avium","11.09","Sweet_cherry_CRS_phenotyping_2012"
"465","FR30T105","Prunus avium","7.8","Sweet_cherry_CRS_phenotyping_2012"
"466","FR30T106","Prunus avium","4.57","Sweet_cherry_CRS_phenotyping_2011"
"467","FR30T106","Prunus avium","8.13","Sweet_cherry_CRS_phenotyping_2012"
"468","FR30T107","Prunus avium","8.74","Sweet_cherry_CRS_phenotyping_2012"
"469","FR30T108","Prunus avium","7.42","Sweet_cherry_CRS_phenotyping_2011"
"470","FR30T108","Prunus avium","10.75","Sweet_cherry_CRS_phenotyping_2012"
"471","FR30T109","Prunus avium","4.85","Sweet_cherry_CRS_phenotyping_2012"
"472","FR30T109","Prunus avium","4.95","Sweet_cherry_CRS_phenotyping_2011"
"473","FR31T007","Prunus avium","8.08","Sweet_cherry_CRS_phenotyping_2012"
"474","FR31T007","Prunus avium","10.5","Sweet_cherry_CRS_phenotyping_2011"
"475","FR31T008","Prunus avium","11.67","Sweet_cherry_CRS_phenotyping_2012"
"476","FR31T009","Prunus avium","7.42","Sweet_cherry_CRS_phenotyping_2012"
"477","FR31T010","Prunus avium","10.09","Sweet_cherry_CRS_phenotyping_2012"
"478","FR31T010","Prunus avium","10.3","Sweet_cherry_CRS_phenotyping_2011"
"479","FR31T011","Prunus avium","12.25","Sweet_cherry_CRS_phenotyping_2012"
"480","FR31T013","Prunus avium","6.53","Sweet_cherry_CRS_phenotyping_2012"
"481","FR31T014","Prunus avium","9.54","Sweet_cherry_CRS_phenotyping_2012"
"482","FR33T001","Prunus avium","7.36","Sweet_cherry_CRS_phenotyping_2012"
"483","FR33T004","Prunus avium","5.25","Sweet_cherry_CRS_phenotyping_2011"
"484","FR33T004","Prunus avium","7.92","Sweet_cherry_CRS_phenotyping_2012"
"485","FR33T005","Prunus avium","8.5","Sweet_cherry_CRS_phenotyping_2011"
"486","FR33T005","Prunus avium","8.9","Sweet_cherry_CRS_phenotyping_2012"
"487","FR33T006","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"488","FR33T006","Prunus avium","5.06","Sweet_cherry_CRS_phenotyping_2012"
"489","FR33T007","Prunus avium","7.25","Sweet_cherry_CRS_phenotyping_2012"
"490","FR33T008","Prunus avium","4.32","Sweet_cherry_CRS_phenotyping_2011"
"491","FR33T008","Prunus avium","5.5","Sweet_cherry_CRS_phenotyping_2012"
"492","FR33T011","Prunus avium","6.58","Sweet_cherry_CRS_phenotyping_2012"
"493","FR35T101","Prunus avium","8.2","Sweet_cherry_CRS_phenotyping_2011"
"494","FR35T101","Prunus avium","9.17","Sweet_cherry_CRS_phenotyping_2012"
"495","FR35T102","Prunus avium","9.4","Sweet_cherry_CRS_phenotyping_2011"
"496","FR35T102","Prunus avium","10.05","Sweet_cherry_CRS_phenotyping_2012"
"497","FR35T103","Prunus avium","9.8","Sweet_cherry_CRS_phenotyping_2012"
"498","FR35T103","Prunus avium","9.9","Sweet_cherry_CRS_phenotyping_2011"
"499","FR35T104","Prunus avium","11.7","Sweet_cherry_CRS_phenotyping_2012"
"500","FR35T104","Prunus avium","13.8","Sweet_cherry_CRS_phenotyping_2011"
"501","FR35T105","Prunus avium","6.38","Sweet_cherry_CRS_phenotyping_2011"
"502","FR35T105","Prunus avium","8.23","Sweet_cherry_CRS_phenotyping_2012"
"503","FR35T108","Prunus avium","4.62","Sweet_cherry_CRS_phenotyping_2011"
"504","FR35T110","Prunus avium","8.4","Sweet_cherry_CRS_phenotyping_2011"
"505","FR35T110","Prunus avium","9.87","Sweet_cherry_CRS_phenotyping_2012"
"506","FR38T001","Prunus avium","7.75","Sweet_cherry_CRS_phenotyping_2012"
"507","FR38T002","Prunus avium","11.7","Sweet_cherry_CRS_phenotyping_2012"
"508","FR38T003","Prunus avium","12.39","Sweet_cherry_CRS_phenotyping_2012"
"509","FR38T005","Prunus avium","11.66","Sweet_cherry_CRS_phenotyping_2012"
"510","FR3T002","Prunus avium","9.26","Sweet_cherry_CRS_phenotyping_2012"
"511","FR3T002","Prunus avium","9.52","Sweet_cherry_CRS_phenotyping_2011"
"512","FR3T002","Prunus avium","10.16","Sweet_cherry_CRS_phenotyping_2010"
"513","FR3T003","Prunus avium","7.05","Sweet_cherry_CRS_phenotyping_2012"
"514","FR3T003","Prunus avium","7.45","Sweet_cherry_CRS_phenotyping_2011"
"515","FR3T004","Prunus avium","5.23","Sweet_cherry_CRS_phenotyping_2011"
"516","FR3T004","Prunus avium","5.71","Sweet_cherry_CRS_phenotyping_2010"
"517","FR3T004","Prunus avium","6.72","Sweet_cherry_CRS_phenotyping_2012"
"518","FR3T005","Prunus avium","5.1","Sweet_cherry_CRS_phenotyping_2011"
"519","FR3T005","Prunus avium","5.87","Sweet_cherry_CRS_phenotyping_2012"
"520","FR3T007","Prunus avium","5.55","Sweet_cherry_CRS_phenotyping_2011"
"521","FR3T007","Prunus avium","6.12","Sweet_cherry_CRS_phenotyping_2012"
"522","FR3T008","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2011"
"523","FR3T008","Prunus avium","10.14","Sweet_cherry_CRS_phenotyping_2012"
"524","FR3T009","Prunus avium","8.41","Sweet_cherry_CRS_phenotyping_2012"
"525","FR3T009","Prunus avium","10.46","Sweet_cherry_CRS_phenotyping_2011"
"526","FR3T011","Prunus avium","9.46","Sweet_cherry_CRS_phenotyping_2012"
"527","FR3T013","Prunus avium","13.15","Sweet_cherry_CRS_phenotyping_2011"
"528","FR3T013","Prunus avium","14.88","Sweet_cherry_CRS_phenotyping_2012"
"529","FR3T014","Prunus avium","9.15","Sweet_cherry_CRS_phenotyping_2012"
"530","FR3T014","Prunus avium","9.38","Sweet_cherry_CRS_phenotyping_2011"
"531","FR3T014","Prunus avium","10.74","Sweet_cherry_CRS_phenotyping_2010"
"532","FR3T015","Prunus avium","9.75","Sweet_cherry_CRS_phenotyping_2011"
"533","FR3T015","Prunus avium","10.2","Sweet_cherry_CRS_phenotyping_2012"
"534","FR3T016","Prunus avium","9.16","Sweet_cherry_CRS_phenotyping_2012"
"535","FR3T016","Prunus avium","10.37","Sweet_cherry_CRS_phenotyping_2011"
"536","FR3T016","Prunus avium","10.68","Sweet_cherry_CRS_phenotyping_2010"
"537","FR3T017","Prunus avium","9.14","Sweet_cherry_CRS_phenotyping_2012"
"538","FR3T018","Prunus avium","11.4","Sweet_cherry_CRS_phenotyping_2011"
"539","FR3T018","Prunus avium","12.17","Sweet_cherry_CRS_phenotyping_2010"
"540","FR3T018","Prunus avium","13.5","Sweet_cherry_CRS_phenotyping_2012"
"541","FR3T019","Prunus avium","10.93","Sweet_cherry_CRS_phenotyping_2012"
"542","FR3T020","Prunus avium","11.29","Sweet_cherry_CRS_phenotyping_2010"
"543","FR3T020","Prunus avium","11.44","Sweet_cherry_CRS_phenotyping_2012"
"544","FR3T020","Prunus avium","11.5","Sweet_cherry_CRS_phenotyping_2011"
"545","FR3T021","Prunus avium","7.83","Sweet_cherry_CRS_phenotyping_2011"
"546","FR3T021","Prunus avium","8.59","Sweet_cherry_CRS_phenotyping_2010"
"547","FR3T021","Prunus avium","10.08","Sweet_cherry_CRS_phenotyping_2012"
"548","FR3T022","Prunus avium","7.43","Sweet_cherry_CRS_phenotyping_2011"
"549","FR3T022","Prunus avium","9.47","Sweet_cherry_CRS_phenotyping_2012"
"550","FR3T023","Prunus avium","11.5","Sweet_cherry_CRS_phenotyping_2011"
"551","FR3T023","Prunus avium","13.45","Sweet_cherry_CRS_phenotyping_2012"
"552","FR3T025","Prunus avium","9.37","Sweet_cherry_CRS_phenotyping_2011"
"553","FR3T025","Prunus avium","9.85","Sweet_cherry_CRS_phenotyping_2010"
"554","FR3T025","Prunus avium","11.78","Sweet_cherry_CRS_phenotyping_2012"
"555","FR3T026","Prunus avium","11.58","Sweet_cherry_CRS_phenotyping_2011"
"556","FR3T026","Prunus avium","11.89","Sweet_cherry_CRS_phenotyping_2012"
"557","FR3T027","Prunus avium","12.65","Sweet_cherry_CRS_phenotyping_2011"
"558","FR3T027","Prunus avium","13.03","Sweet_cherry_CRS_phenotyping_2012"
"559","FR3T028","Prunus avium","7.76","Sweet_cherry_CRS_phenotyping_2012"
"560","FR3T029","Prunus avium","7.87","Sweet_cherry_CRS_phenotyping_2010"
"561","FR3T029","Prunus avium","8.2","Sweet_cherry_CRS_phenotyping_2011"
"562","FR3T029","Prunus avium","10.96","Sweet_cherry_CRS_phenotyping_2012"
"563","FR3T030","Prunus avium","8.48","Sweet_cherry_CRS_phenotyping_2011"
"564","FR3T030","Prunus avium","10.42","Sweet_cherry_CRS_phenotyping_2012"
"565","FR3T031","Prunus avium","11.15","Sweet_cherry_CRS_phenotyping_2011"
"566","FR3T031","Prunus avium","11.56","Sweet_cherry_CRS_phenotyping_2012"
"567","FR3T032","Prunus avium","7.55","Sweet_cherry_CRS_phenotyping_2011"
"568","FR3T032","Prunus avium","10.43","Sweet_cherry_CRS_phenotyping_2012"
"569","FR3T033","Prunus avium","9.8","Sweet_cherry_CRS_phenotyping_2011"
"570","FR3T033","Prunus avium","12.5","Sweet_cherry_CRS_phenotyping_2012"
"571","FR3T034","Prunus avium","8.75","Sweet_cherry_CRS_phenotyping_2011"
"572","FR3T034","Prunus avium","11.2","Sweet_cherry_CRS_phenotyping_2012"
"573","FR3T043","Prunus avium","8.05","Sweet_cherry_CRS_phenotyping_2011"
"574","FR3T043","Prunus avium","9.19","Sweet_cherry_CRS_phenotyping_2010"
"575","FR3T043","Prunus avium","11.14","Sweet_cherry_CRS_phenotyping_2012"
"576","FR3T044","Prunus avium","8.6","Sweet_cherry_CRS_phenotyping_2011"
"577","FR3T044","Prunus avium","8.6","Sweet_cherry_CRS_phenotyping_2012"
"578","FR3T046","Prunus avium","8.75","Sweet_cherry_CRS_phenotyping_2011"
"579","FR3T046","Prunus avium","10.43","Sweet_cherry_CRS_phenotyping_2012"
"580","FR3T047","Prunus avium","7.7","Sweet_cherry_CRS_phenotyping_2012"
"581","FR3T047","Prunus avium","8.53","Sweet_cherry_CRS_phenotyping_2011"
"582","FR3T050","Prunus avium","8.6","Sweet_cherry_CRS_phenotyping_2011"
"583","FR3T050","Prunus avium","8.71","Sweet_cherry_CRS_phenotyping_2010"
"584","FR3T050","Prunus avium","9.18","Sweet_cherry_CRS_phenotyping_2012"
"585","FR3T056","Prunus avium","9.73","Sweet_cherry_CRS_phenotyping_2010"
"586","FR3T056","Prunus avium","10.46","Sweet_cherry_CRS_phenotyping_2011"
"587","FR3T056","Prunus avium","11.53","Sweet_cherry_CRS_phenotyping_2012"
"588","FR3T057","Prunus avium","8.13","Sweet_cherry_CRS_phenotyping_2010"
"589","FR3T057","Prunus avium","8.66","Sweet_cherry_CRS_phenotyping_2011"
"590","FR3T057","Prunus avium","10.1","Sweet_cherry_CRS_phenotyping_2012"
"591","FR3T058","Prunus avium","11.33","Sweet_cherry_CRS_phenotyping_2011"
"592","FR3T058","Prunus avium","13.32","Sweet_cherry_CRS_phenotyping_2012"
"593","FR42T001","Prunus avium","4.25","Sweet_cherry_CRS_phenotyping_2011"
"594","FR42T003","Prunus avium","13.84","Sweet_cherry_CRS_phenotyping_2012"
"595","FR42T007","Prunus avium","12.51","Sweet_cherry_CRS_phenotyping_2012"
"596","FR42T045","Prunus avium","8.26","Sweet_cherry_CRS_phenotyping_2012"
"597","FR42T048","Prunus avium","6.6","Sweet_cherry_CRS_phenotyping_2011"
"598","FR42T048","Prunus avium","9.1","Sweet_cherry_CRS_phenotyping_2012"
"599","FR47T058","Prunus avium","12.61","Sweet_cherry_CRS_phenotyping_2012"
"600","FR47T059","Prunus avium","10.32","Sweet_cherry_CRS_phenotyping_2012"
"601","FR5T019","Prunus avium","8.76","Sweet_cherry_CRS_phenotyping_2012"
"602","FR5T019","Prunus avium","9.16","Sweet_cherry_CRS_phenotyping_2011"
"603","FR5T021","Prunus avium","11.1","Sweet_cherry_CRS_phenotyping_2012"
"604","FR5T021","Prunus avium","11.59","Sweet_cherry_CRS_phenotyping_2011"
"605","FR5T021","Prunus avium","12.59","Sweet_cherry_CRS_phenotyping_2010"
"606","FR5T025","Prunus avium","10.15","Sweet_cherry_CRS_phenotyping_2011"
"607","FR5T025","Prunus avium","10.93","Sweet_cherry_CRS_phenotyping_2012"
"608","FR8T002","Prunus avium","6.9","Sweet_cherry_CRS_phenotyping_2011"
"609","FR8T002","Prunus avium","7.91","Sweet_cherry_CRS_phenotyping_2012"
"610","FR8T003","Prunus avium","6.4","Sweet_cherry_CRS_phenotyping_2011"
"611","FR8T003","Prunus avium","7.9","Sweet_cherry_CRS_phenotyping_2012"
"612","FR8T004","Prunus avium","7.76","Sweet_cherry_CRS_phenotyping_2012"
"613","FR8T005","Prunus avium","9.17","Sweet_cherry_CRS_phenotyping_2012"
"614","FR8T006","Prunus avium","5.37","Sweet_cherry_CRS_phenotyping_2012"
"615","FR8T007","Prunus avium","6.74","Sweet_cherry_CRS_phenotyping_2012"
"616","FR8T010","Prunus avium","7.92","Sweet_cherry_CRS_phenotyping_2012"
"617","FR8T011","Prunus avium","8.4","Sweet_cherry_CRS_phenotyping_2011"
"618","FR8T011","Prunus avium","12","Sweet_cherry_CRS_phenotyping_2012"
"619","FR8T047","Prunus avium","11.62","Sweet_cherry_CRS_phenotyping_2012"
"620","FR8T053","Prunus avium","9.96","Sweet_cherry_CRS_phenotyping_2012"
"621","FR8T057","Prunus avium","8.19","Sweet_cherry_CRS_phenotyping_2011"
"622","FR8T057","Prunus avium","11.5","Sweet_cherry_CRS_phenotyping_2012"
"623","FR9T031","Prunus avium","11.48","Sweet_cherry_CRS_phenotyping_2010"
"624","FR9T031","Prunus avium","12.2","Sweet_cherry_CRS_phenotyping_2012"
"625","FR9T032","Prunus avium","11.2","Sweet_cherry_CRS_phenotyping_2011"
"626","FR9T032","Prunus avium","11.93","Sweet_cherry_CRS_phenotyping_2010"
"627","FR9T032","Prunus avium","14.33","Sweet_cherry_CRS_phenotyping_2012"
"628","FR9T033","Prunus avium","9.52","Sweet_cherry_CRS_phenotyping_2011"
"629","FR9T034","Prunus avium","8.15","Sweet_cherry_CRS_phenotyping_2012"
"630","FR9T034","Prunus avium","8.79","Sweet_cherry_CRS_phenotyping_2011"
"631","FR9T081","Prunus avium","11.08","Sweet_cherry_CRS_phenotyping_2012"
"632","FR9T081","Prunus avium","11.43","Sweet_cherry_CRS_phenotyping_2011"
"633","FR9T083","Prunus avium","8.81","Sweet_cherry_CRS_phenotyping_2011"
"634","FR9T083","Prunus avium","9.7","Sweet_cherry_CRS_phenotyping_2012"
"635","FR9T084","Prunus avium","9.4","Sweet_cherry_CRS_phenotyping_2011"
"636","FR9T084","Prunus avium","9.8","Sweet_cherry_CRS_phenotyping_2012"
"637","FR9T085","Prunus avium","8.47","Sweet_cherry_CRS_phenotyping_2011"
"638","FR9T085","Prunus avium","9.3","Sweet_cherry_CRS_phenotyping_2012"
"639","FR9T086","Prunus avium","10.03","Sweet_cherry_CRS_phenotyping_2011"
"640","FR9T086","Prunus avium","10.8","Sweet_cherry_CRS_phenotyping_2012"
"641","FR9T087","Prunus avium","10.3","Sweet_cherry_CRS_phenotyping_2011"
"642","FR9T087","Prunus avium","10.69","Sweet_cherry_CRS_phenotyping_2012"
"643","FR9T096","Prunus avium","12.2","Sweet_cherry_CRS_phenotyping_2012"
"644","FR9T097","Prunus avium","9.5","Sweet_cherry_CRS_phenotyping_2011"
"645","FR9T097","Prunus avium","9.56","Sweet_cherry_CRS_phenotyping_2012"
"646","FR9T098","Prunus avium","9.03","Sweet_cherry_CRS_phenotyping_2012"
"647","FR9T098","Prunus avium","9.55","Sweet_cherry_CRS_phenotyping_2011"
"648","PC 9816-005","Prunus avium","7.7","Sweet_cherry_CRS_phenotyping_2010"
"649","PC 9816-023","Prunus avium","8.89","Sweet_cherry_CRS_phenotyping_2010"
"650","PC 9816-041","Prunus avium","8.82","Sweet_cherry_CRS_phenotyping_2010"
"651","PC 9816-059","Prunus avium","10.4","Sweet_cherry_CRS_phenotyping_2010"
