"#","Germplasm","Species","Flesh_C","Dataset"
"340","FR23T091","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"341","FR23T095","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"342","FR23T113","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"343","FR23T116","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"344","FR23T119","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"345","FR23T120","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"346","FR23T120","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"347","FR23T127","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"348","FR23T128","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"349","FR23T129","Prunus avium","1.2","Sweet_cherry_CRS_phenotyping_2011"
"350","FR23T129","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"351","FR23T130","Prunus avium","2.5","Sweet_cherry_CRS_phenotyping_2011"
"352","FR23T130","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"353","FR23T131","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"354","FR23T131","Prunus avium","4.8","Sweet_cherry_CRS_phenotyping_2011"
"355","FR24T069","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"356","FR24T072","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"357","FR24T077","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"358","FR25T081","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"359","FR25T081","Prunus avium","3.3","Sweet_cherry_CRS_phenotyping_2012"
"360","FR25T084","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"361","FR25T086","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"362","FR25T090","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"363","FR25T090","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"364","FR26T030","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"365","FR26T031","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"366","FR26T033","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"367","FR26T033","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"368","FR26T034","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"369","FR26T034","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"370","FR26T036","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"371","FR26T036","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"372","FR26T037","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"373","FR26T037","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"374","FR26T038","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"375","FR26T038","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"376","FR26T040","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"377","FR27T001","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"378","FR27T001","Prunus avium","2.2","Sweet_cherry_CRS_phenotyping_2012"
"379","FR27T006","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"380","FR27T007","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"381","FR27T008","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"382","FR27T009","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"383","FR27T010","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"384","FR27T012","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"385","FR27T012","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"386","FR27T013","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"387","FR27T013","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"388","FR27T014","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"389","FR27T014","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"390","FR27T015","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"391","FR27T015","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"392","FR27T017","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"393","FR27T050","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"394","FR27T051","Prunus avium","4.2","Sweet_cherry_CRS_phenotyping_2012"
"395","FR27T052","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"396","FR27T052","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"397","FR27T053","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"398","FR27T053","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"399","FR27T054","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"400","FR27T054","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"401","FR27T094","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"402","FR27T094","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"403","FR27T096","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"404","FR27T096","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"405","FR27T097","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"406","FR27T097","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"407","FR27T099","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"408","FR27T099","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"409","FR27T102","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"410","FR28T099","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"411","FR29T073","Prunus avium","4.5","Sweet_cherry_CRS_phenotyping_2011"
"412","FR29T073","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"413","FR29T117","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"414","FR29T118","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"415","FR29T119","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"416","FR29T120","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"417","FR29T120","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"418","FR29T122","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"419","FR29T122","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"420","FR29T124","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"421","FR29T124","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"422","FR29T126","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"423","FR2T035","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2011"
"424","FR2T035","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"425","FR2T035","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2010"
"426","FR2T037","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2010"
"427","FR2T037","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"428","FR2T037","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"429","FR2T038","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2010"
"430","FR2T038","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"431","FR2T038","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"432","FR2T040","Prunus avium","2.3","Sweet_cherry_CRS_phenotyping_2011"
"433","FR2T040","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2010"
"434","FR2T040","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"435","FR2T045","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"436","FR2T045","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"437","FR2T045","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2010"
"438","FR2T046","Prunus avium","1.4","Sweet_cherry_CRS_phenotyping_2011"
"439","FR2T046","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2010"
"440","FR2T046","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"441","FR2T048","Prunus avium","1.2","Sweet_cherry_CRS_phenotyping_2011"
"442","FR2T048","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"443","FR2T049","Prunus avium","2.2","Sweet_cherry_CRS_phenotyping_2011"
"444","FR2T049","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2012"
"445","FR2T049","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"446","FR2T050","Prunus avium","1.6","Sweet_cherry_CRS_phenotyping_2011"
"447","FR2T050","Prunus avium","3.5","Sweet_cherry_CRS_phenotyping_2010"
"448","FR2T050","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"449","FR2T054","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"450","FR2T054","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"451","FR2T054","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2010"
"452","FR2T057","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"453","FR2T057","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2010"
"454","FR2T057","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2012"
"455","FR2T079","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2011"
"456","FR2T079","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2010"
"457","FR2T079","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"458","FR2T080","Prunus avium","2.4","Sweet_cherry_CRS_phenotyping_2011"
"459","FR2T080","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"460","FR2T080","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2010"
"461","FR30T099","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"462","FR30T099","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"463","FR30T100","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"464","FR30T101","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"465","FR30T102","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"466","FR30T102","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"467","FR30T103","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"468","FR30T105","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"469","FR30T106","Prunus avium","2.4","Sweet_cherry_CRS_phenotyping_2011"
"470","FR30T106","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"471","FR30T107","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"472","FR30T108","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"473","FR30T108","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"474","FR30T109","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"475","FR30T109","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"476","FR31T007","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"477","FR31T007","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"478","FR31T008","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"479","FR31T009","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"480","FR31T010","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"481","FR31T010","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"482","FR31T011","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2012"
"483","FR31T013","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"484","FR31T014","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"485","FR33T001","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"486","FR33T004","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"487","FR33T004","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"488","FR33T005","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"489","FR33T005","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"490","FR33T006","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"491","FR33T006","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"492","FR33T007","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"493","FR33T008","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"494","FR33T008","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"495","FR33T011","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"496","FR35T101","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"497","FR35T101","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"498","FR35T102","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2011"
"499","FR35T102","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"500","FR35T103","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"501","FR35T103","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"502","FR35T104","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"503","FR35T104","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"504","FR35T105","Prunus avium","2.5","Sweet_cherry_CRS_phenotyping_2011"
"505","FR35T105","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"506","FR35T108","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"507","FR35T108","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"508","FR35T110","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"509","FR35T110","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"510","FR38T001","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"511","FR38T002","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"512","FR38T003","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"513","FR38T005","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2012"
"514","FR3T002","Prunus avium","1.4","Sweet_cherry_CRS_phenotyping_2011"
"515","FR3T002","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"516","FR3T002","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"517","FR3T003","Prunus avium","1.3","Sweet_cherry_CRS_phenotyping_2011"
"518","FR3T003","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"519","FR3T004","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"520","FR3T004","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2010"
"521","FR3T004","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"522","FR3T005","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"523","FR3T005","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"524","FR3T007","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"525","FR3T007","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"526","FR3T008","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"527","FR3T008","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"528","FR3T009","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2011"
"529","FR3T009","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2012"
"530","FR3T011","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"531","FR3T013","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"532","FR3T013","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"533","FR3T014","Prunus avium","2.5","Sweet_cherry_CRS_phenotyping_2010"
"534","FR3T014","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"535","FR3T014","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2011"
"536","FR3T015","Prunus avium","2.2","Sweet_cherry_CRS_phenotyping_2011"
"537","FR3T015","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"538","FR3T016","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"539","FR3T016","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"540","FR3T016","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2010"
"541","FR3T017","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"542","FR3T018","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"543","FR3T018","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"544","FR3T018","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2010"
"545","FR3T019","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"546","FR3T020","Prunus avium","1.3","Sweet_cherry_CRS_phenotyping_2011"
"547","FR3T020","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"548","FR3T020","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"549","FR3T021","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"550","FR3T021","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"551","FR3T021","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2010"
"552","FR3T022","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"553","FR3T022","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"554","FR3T023","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"555","FR3T023","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2011"
"556","FR3T025","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2011"
"557","FR3T025","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"558","FR3T025","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2010"
"559","FR3T026","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"560","FR3T026","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"561","FR3T027","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2011"
"562","FR3T027","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"563","FR3T028","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"564","FR3T029","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"565","FR3T029","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"566","FR3T029","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"567","FR3T030","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2011"
"568","FR3T030","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"569","FR3T031","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2011"
"570","FR3T031","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"571","FR3T032","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"572","FR3T032","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"573","FR3T033","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"574","FR3T033","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"575","FR3T034","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"576","FR3T034","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"577","FR3T043","Prunus avium","1.4","Sweet_cherry_CRS_phenotyping_2011"
"578","FR3T043","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2010"
"579","FR3T043","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"580","FR3T044","Prunus avium","3.5","Sweet_cherry_CRS_phenotyping_2011"
"581","FR3T044","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"582","FR3T046","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2011"
"583","FR3T046","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"584","FR3T047","Prunus avium","2.2","Sweet_cherry_CRS_phenotyping_2011"
"585","FR3T047","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"586","FR3T050","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2010"
"587","FR3T050","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2011"
"588","FR3T050","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"589","FR3T056","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"590","FR3T056","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2012"
"591","FR3T056","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2010"
"592","FR3T057","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"593","FR3T057","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"594","FR3T057","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2010"
"595","FR3T058","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2011"
"596","FR3T058","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"597","FR42T001","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"598","FR42T003","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"599","FR42T005","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"600","FR42T007","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"601","FR42T045","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"602","FR42T048","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"603","FR42T048","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"604","FR47T058","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"605","FR47T059","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"606","FR5T019","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"607","FR5T019","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"608","FR5T021","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2010"
"609","FR5T021","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"610","FR5T021","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"611","FR5T025","Prunus avium","2.5","Sweet_cherry_CRS_phenotyping_2011"
"612","FR5T025","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"613","FR8T002","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"614","FR8T002","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"615","FR8T003","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"616","FR8T003","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"617","FR8T004","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"618","FR8T005","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"619","FR8T006","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"620","FR8T007","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"621","FR8T010","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"622","FR8T011","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"623","FR8T011","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"624","FR8T047","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"625","FR8T053","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"626","FR8T057","Prunus avium","1.4","Sweet_cherry_CRS_phenotyping_2011"
"627","FR8T057","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"628","FR9T031","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2010"
"629","FR9T031","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"630","FR9T032","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"631","FR9T032","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"632","FR9T032","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"633","FR9T033","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"634","FR9T033","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"635","FR9T034","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"636","FR9T034","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"637","FR9T081","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"638","FR9T081","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"639","FR9T083","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"640","FR9T083","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"641","FR9T084","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"642","FR9T084","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"643","FR9T085","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"644","FR9T085","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"645","FR9T086","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"646","FR9T086","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2012"
"647","FR9T087","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"648","FR9T087","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"649","FR9T096","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"650","FR9T097","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"651","FR9T097","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"652","FR9T098","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2012"
"653","FR9T098","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"654","PC 9816-005","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2010"
"655","PC 9816-023","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2010"
"656","PC 9816-041","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2010"
"657","PC 9816-059","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2010"
"658","PC 9816-083","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"659","PC 9816-103","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"660","PC 9816-105","Prunus avium","4.2","Sweet_cherry_CRS_phenotyping_2010"
"661","PC 9816-106","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2010"
"662","PC 9816-078","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2010"
"663","PC 9819-005","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2010"
"664","PC 9819-038","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2010"
"665","PC 9814-025","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2010"
"666","PC 9814-103","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"667","PC 9814-105","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2010"
"668","PC 9814-028","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2010"
"669","PC 9814-062","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2010"
"670","PC 9814-063","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"671","PC 9814-071","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2010"
"672","PC 9814-076","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"673","PC 9819-034","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2010"
"674","Unk10-Sdlg","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"675","Unk10-Sdlg","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
