"#","Germplasm","Species","Skin_C_mahogany","Dataset"
"335","FR2T054","Prunus avium","5.6","Sweet_cherry_CRS_phenotyping_2012"
"336","FR2T057","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"337","FR2T057","Prunus avium","4.8","Sweet_cherry_CRS_phenotyping_2012"
"338","FR2T057","Prunus avium","5.4","Sweet_cherry_CRS_phenotyping_2010"
"339","FR2T079","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"340","FR2T079","Prunus avium","5.6","Sweet_cherry_CRS_phenotyping_2011"
"341","FR2T079","Prunus avium","6.4","Sweet_cherry_CRS_phenotyping_2010"
"342","FR2T080","Prunus avium","5.2","Sweet_cherry_CRS_phenotyping_2011"
"343","FR2T080","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"344","FR2T080","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2010"
"345","FR30T099","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"346","FR30T099","Prunus avium","5.8","Sweet_cherry_CRS_phenotyping_2012"
"347","FR30T100","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2012"
"348","FR30T101","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"349","FR30T102","Prunus avium","5.4","Sweet_cherry_CRS_phenotyping_2012"
"350","FR30T103","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"351","FR30T105","Prunus avium","5.2","Sweet_cherry_CRS_phenotyping_2012"
"352","FR30T106","Prunus avium","4.2","Sweet_cherry_CRS_phenotyping_2011"
"353","FR30T106","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"354","FR30T107","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"355","FR30T108","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2012"
"356","FR30T108","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2011"
"357","FR30T109","Prunus avium","4.8","Sweet_cherry_CRS_phenotyping_2012"
"358","FR31T008","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"359","FR31T009","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2012"
"360","FR31T010","Prunus avium","4.5","Sweet_cherry_CRS_phenotyping_2011"
"361","FR31T010","Prunus avium","4.7","Sweet_cherry_CRS_phenotyping_2012"
"362","FR31T011","Prunus avium","4.8","Sweet_cherry_CRS_phenotyping_2012"
"363","FR31T013","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"364","FR31T014","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2012"
"365","FR33T001","Prunus avium","4.8","Sweet_cherry_CRS_phenotyping_2012"
"366","FR33T008","Prunus avium","4.8","Sweet_cherry_CRS_phenotyping_2011"
"367","FR33T008","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2012"
"368","FR33T011","Prunus avium","6.4","Sweet_cherry_CRS_phenotyping_2012"
"369","FR35T101","Prunus avium","5.6","Sweet_cherry_CRS_phenotyping_2012"
"370","FR35T101","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2011"
"371","FR35T102","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2011"
"372","FR35T102","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"373","FR35T103","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"374","FR35T103","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"375","FR35T105","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"376","FR35T105","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"377","FR35T110","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"378","FR35T110","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"379","FR38T001","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2012"
"380","FR38T002","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"381","FR38T003","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"382","FR38T005","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"383","FR3T002","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2011"
"384","FR3T002","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2012"
"385","FR3T002","Prunus avium","5.2","Sweet_cherry_CRS_phenotyping_2010"
"386","FR3T003","Prunus avium","2.7","Sweet_cherry_CRS_phenotyping_2011"
"387","FR3T003","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"388","FR3T004","Prunus avium","3.5","Sweet_cherry_CRS_phenotyping_2011"
"389","FR3T004","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2012"
"390","FR3T004","Prunus avium","6.2","Sweet_cherry_CRS_phenotyping_2010"
"391","FR3T005","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"392","FR3T005","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2012"
"393","FR3T007","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2011"
"394","FR3T007","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2012"
"395","FR3T009","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"396","FR3T009","Prunus avium","5.4","Sweet_cherry_CRS_phenotyping_2012"
"397","FR3T011","Prunus avium","4.2","Sweet_cherry_CRS_phenotyping_2012"
"398","FR3T013","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"399","FR3T013","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2011"
"400","FR3T014","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"401","FR3T014","Prunus avium","5.2","Sweet_cherry_CRS_phenotyping_2011"
"402","FR3T014","Prunus avium","6.3","Sweet_cherry_CRS_phenotyping_2010"
"403","FR3T015","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"404","FR3T015","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2011"
"405","FR3T016","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"406","FR3T016","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2010"
"407","FR3T017","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"408","FR3T018","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"409","FR3T018","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2011"
"410","FR3T018","Prunus avium","6.2","Sweet_cherry_CRS_phenotyping_2010"
"411","FR3T019","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"412","FR3T020","Prunus avium","2.5","Sweet_cherry_CRS_phenotyping_2011"
"413","FR3T020","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"414","FR3T020","Prunus avium","6.8","Sweet_cherry_CRS_phenotyping_2010"
"415","FR3T021","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"416","FR3T021","Prunus avium","5.8","Sweet_cherry_CRS_phenotyping_2011"
"417","FR3T021","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2010"
"418","FR3T022","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"419","FR3T022","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2011"
"420","FR3T023","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"421","FR3T023","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2011"
"422","FR3T025","Prunus avium","4.2","Sweet_cherry_CRS_phenotyping_2011"
"423","FR3T025","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2010"
"424","FR3T025","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"425","FR3T026","Prunus avium","4.2","Sweet_cherry_CRS_phenotyping_2012"
"426","FR3T026","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"427","FR3T027","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"428","FR3T027","Prunus avium","5.2","Sweet_cherry_CRS_phenotyping_2011"
"429","FR3T028","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2012"
"430","FR3T029","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"431","FR3T029","Prunus avium","5.2","Sweet_cherry_CRS_phenotyping_2011"
"432","FR3T029","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2010"
"433","FR3T030","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"434","FR3T030","Prunus avium","5.4","Sweet_cherry_CRS_phenotyping_2011"
"435","FR3T031","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"436","FR3T031","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"437","FR3T032","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"438","FR3T032","Prunus avium","5.4","Sweet_cherry_CRS_phenotyping_2011"
"439","FR3T033","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2011"
"440","FR3T033","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2012"
"441","FR3T034","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"442","FR3T034","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"443","FR3T043","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2011"
"444","FR3T043","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2012"
"445","FR3T043","Prunus avium","4.2","Sweet_cherry_CRS_phenotyping_2010"
"446","FR3T044","Prunus avium","5.5","Sweet_cherry_CRS_phenotyping_2011"
"447","FR3T044","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"448","FR3T046","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"449","FR3T046","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"450","FR3T047","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2011"
"451","FR3T047","Prunus avium","4.2","Sweet_cherry_CRS_phenotyping_2012"
"452","FR3T050","Prunus avium","5.4","Sweet_cherry_CRS_phenotyping_2011"
"453","FR3T050","Prunus avium","5.4","Sweet_cherry_CRS_phenotyping_2012"
"454","FR3T050","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2010"
"455","FR3T056","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2012"
"456","FR3T056","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2011"
"457","FR3T056","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2010"
"458","FR3T057","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"459","FR3T057","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"460","FR3T057","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2010"
"461","FR3T058","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2011"
"462","FR3T058","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"463","FR42T001","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2011"
"464","FR42T003","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"465","FR42T005","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"466","FR42T007","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"467","FR42T045","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"468","FR42T048","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"469","FR42T048","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2012"
"470","FR47T058","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"471","FR47T059","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"472","FR5T019","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"473","FR5T019","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"474","FR5T021","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2010"
"475","FR5T021","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2011"
"476","FR5T021","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"477","FR5T025","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"478","FR5T025","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"479","FR8T002","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"480","FR8T002","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"481","FR8T003","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"482","FR8T003","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2012"
"483","FR8T004","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"484","FR8T005","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"485","FR8T006","Prunus avium","6.6","Sweet_cherry_CRS_phenotyping_2012"
"486","FR8T007","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"487","FR8T010","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"488","FR8T011","Prunus avium","5.8","Sweet_cherry_CRS_phenotyping_2012"
"489","FR8T011","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2011"
"490","FR8T047","Prunus avium","4.8","Sweet_cherry_CRS_phenotyping_2012"
"491","FR8T053","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"492","FR8T057","Prunus avium","2.2","Sweet_cherry_CRS_phenotyping_2011"
"493","FR8T057","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"494","FR9T032","Prunus avium","2.3","Sweet_cherry_CRS_phenotyping_2011"
"495","FR9T032","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"496","FR9T032","Prunus avium","5.6","Sweet_cherry_CRS_phenotyping_2010"
"497","FR9T033","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"498","FR9T033","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2012"
"499","FR9T034","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2011"
"500","FR9T034","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"501","FR9T081","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"502","FR9T081","Prunus avium","5.4","Sweet_cherry_CRS_phenotyping_2011"
"503","FR9T083","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2011"
"504","FR9T083","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2012"
"505","FR9T084","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2011"
"506","FR9T084","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"507","FR9T085","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2011"
"508","FR9T085","Prunus avium","5.8","Sweet_cherry_CRS_phenotyping_2012"
"509","FR9T086","Prunus avium","4.8","Sweet_cherry_CRS_phenotyping_2011"
"510","FR9T086","Prunus avium","4.8","Sweet_cherry_CRS_phenotyping_2012"
"511","FR9T087","Prunus avium","3.6","Sweet_cherry_CRS_phenotyping_2011"
"512","FR9T087","Prunus avium","4.8","Sweet_cherry_CRS_phenotyping_2012"
"513","FR9T096","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"514","FR9T097","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"515","FR9T097","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"516","FR9T098","Prunus avium","5.4","Sweet_cherry_CRS_phenotyping_2011"
"517","FR9T098","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"518","PC 9816-005","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2010"
"519","PC 9816-023","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2010"
"520","PC 9816-041","Prunus avium","4.8","Sweet_cherry_CRS_phenotyping_2010"
"521","PC 9816-059","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2010"
"522","PC 9816-083","Prunus avium","5.4","Sweet_cherry_CRS_phenotyping_2010"
"523","PC 9816-103","Prunus avium","4.8","Sweet_cherry_CRS_phenotyping_2010"
"524","PC 9816-105","Prunus avium","5.4","Sweet_cherry_CRS_phenotyping_2010"
"525","PC 9816-106","Prunus avium","5.4","Sweet_cherry_CRS_phenotyping_2010"
"526","PC 9816-078","Prunus avium","5.8","Sweet_cherry_CRS_phenotyping_2010"
"527","PC 9819-005","Prunus avium","5.2","Sweet_cherry_CRS_phenotyping_2010"
"528","PC 9819-038","Prunus avium","5.4","Sweet_cherry_CRS_phenotyping_2010"
"529","PC 9814-025","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2010"
"530","PC 9814-103","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2010"
"531","PC 9814-105","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2010"
"532","PC 9814-028","Prunus avium","4.2","Sweet_cherry_CRS_phenotyping_2010"
"533","PC 9814-062","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"534","PC 9814-063","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2010"
"535","PC 9814-071","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2010"
"536","PC 9814-076","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2010"
"537","PC 9819-034","Prunus avium","5.4","Sweet_cherry_CRS_phenotyping_2010"
"538","Unk11-Sdlg","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"539","Unk11-Sdlg","Prunus avium","5.8","Sweet_cherry_CRS_phenotyping_2011"
"540","Unk14-Sdlg","Prunus avium","5.4","Sweet_cherry_CRS_phenotyping_2012"
"541","Unk14-Sdlg","Prunus avium","7","Sweet_cherry_CRS_phenotyping_2011"
"542","Unk15-Sdlg","Prunus avium","3.5","Sweet_cherry_CRS_phenotyping_2011"
"543","Unk15-Sdlg","Prunus avium","5.4","Sweet_cherry_CRS_phenotyping_2010"
"544","Unk15-Sdlg","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"545","Unk16-Sdlg","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2011"
"546","Unk16-Sdlg","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"547","Unk20-Sdlg","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2011"
"548","Unk22-Sdlg","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"549","Unk23-Sdlg","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"550","Unk25-Sdlg","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"551","Unk25-Sdlg","Prunus avium","4.5","Sweet_cherry_CRS_phenotyping_2011"
"552","Unk6-Sdlg","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
"553","Unk9-Sdlg","Prunus avium","5.8","Sweet_cherry_CRS_phenotyping_2012"
"554","Black Republican","Prunus avium","5.5","Sweet_cherry_CRS_phenotyping_2011"
"555","Krupnoplodnaya","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2012"
"556","Moreau","Prunus avium","5.8","Sweet_cherry_CRS_phenotyping_2011"
"557","Moreau","Prunus avium","6.4","Sweet_cherry_CRS_phenotyping_2012"
"558","Index","Prunus avium","3.2","Sweet_cherry_CRS_phenotyping_2010"
"559","Index","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"560","Index","Prunus avium","4.6","Sweet_cherry_CRS_phenotyping_2011"
"561","Sunburst","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2011"
"562","Sunburst","Prunus avium","6","Sweet_cherry_CRS_phenotyping_2012"
