"#","Germplasm","Species","Fruit_Wd2","Dataset"
"326","FR21T063","Prunus avium","29.55","Sweet_cherry_CRS_phenotyping_2012"
"327","FR22T001","Prunus avium","29.94","Sweet_cherry_CRS_phenotyping_2012"
"328","FR22T002","Prunus avium","23.76","Sweet_cherry_CRS_phenotyping_2011"
"329","FR22T002","Prunus avium","27.87","Sweet_cherry_CRS_phenotyping_2012"
"330","FR22T003","Prunus avium","28.72","Sweet_cherry_CRS_phenotyping_2012"
"331","FR22T004","Prunus avium","25.51","Sweet_cherry_CRS_phenotyping_2011"
"332","FR22T004","Prunus avium","28.66","Sweet_cherry_CRS_phenotyping_2012"
"333","FR22T006","Prunus avium","24.94","Sweet_cherry_CRS_phenotyping_2012"
"334","FR22T007","Prunus avium","26.52","Sweet_cherry_CRS_phenotyping_2012"
"335","FR23T065","Prunus avium","19.51","Sweet_cherry_CRS_phenotyping_2012"
"336","FR23T067","Prunus avium","17.88","Sweet_cherry_CRS_phenotyping_2012"
"337","FR23T068","Prunus avium","19.5","Sweet_cherry_CRS_phenotyping_2012"
"338","FR23T069","Prunus avium","18.6","Sweet_cherry_CRS_phenotyping_2012"
"339","FR23T072","Prunus avium","19.66","Sweet_cherry_CRS_phenotyping_2012"
"340","FR23T089","Prunus avium","18.68","Sweet_cherry_CRS_phenotyping_2012"
"341","FR23T090","Prunus avium","15.35","Sweet_cherry_CRS_phenotyping_2011"
"342","FR23T090","Prunus avium","19.68","Sweet_cherry_CRS_phenotyping_2012"
"343","FR23T091","Prunus avium","19.38","Sweet_cherry_CRS_phenotyping_2012"
"344","FR23T095","Prunus avium","19.78","Sweet_cherry_CRS_phenotyping_2012"
"345","FR23T113","Prunus avium","23.04","Sweet_cherry_CRS_phenotyping_2012"
"346","FR23T116","Prunus avium","24.41","Sweet_cherry_CRS_phenotyping_2012"
"347","FR23T119","Prunus avium","18.96","Sweet_cherry_CRS_phenotyping_2011"
"348","FR23T120","Prunus avium","22.16","Sweet_cherry_CRS_phenotyping_2011"
"349","FR23T120","Prunus avium","22.68","Sweet_cherry_CRS_phenotyping_2012"
"350","FR23T127","Prunus avium","27.24","Sweet_cherry_CRS_phenotyping_2012"
"351","FR23T128","Prunus avium","26.35","Sweet_cherry_CRS_phenotyping_2012"
"352","FR23T129","Prunus avium","20.95","Sweet_cherry_CRS_phenotyping_2011"
"353","FR23T129","Prunus avium","25.4","Sweet_cherry_CRS_phenotyping_2012"
"354","FR23T130","Prunus avium","19.84","Sweet_cherry_CRS_phenotyping_2011"
"355","FR23T130","Prunus avium","25.39","Sweet_cherry_CRS_phenotyping_2012"
"356","FR23T131","Prunus avium","23.47","Sweet_cherry_CRS_phenotyping_2012"
"357","FR23T131","Prunus avium","24.65","Sweet_cherry_CRS_phenotyping_2011"
"358","FR24T069","Prunus avium","24.68","Sweet_cherry_CRS_phenotyping_2012"
"359","FR24T072","Prunus avium","23.42","Sweet_cherry_CRS_phenotyping_2012"
"360","FR24T077","Prunus avium","19.36","Sweet_cherry_CRS_phenotyping_2011"
"361","FR25T081","Prunus avium","22.87","Sweet_cherry_CRS_phenotyping_2011"
"362","FR25T081","Prunus avium","23.71","Sweet_cherry_CRS_phenotyping_2012"
"363","FR25T084","Prunus avium","27.92","Sweet_cherry_CRS_phenotyping_2012"
"364","FR25T086","Prunus avium","27.13","Sweet_cherry_CRS_phenotyping_2012"
"365","FR25T090","Prunus avium","21.34","Sweet_cherry_CRS_phenotyping_2011"
"366","FR25T090","Prunus avium","26.63","Sweet_cherry_CRS_phenotyping_2012"
"367","FR26T030","Prunus avium","24.82","Sweet_cherry_CRS_phenotyping_2012"
"368","FR26T031","Prunus avium","26.06","Sweet_cherry_CRS_phenotyping_2012"
"369","FR26T033","Prunus avium","20.93","Sweet_cherry_CRS_phenotyping_2011"
"370","FR26T033","Prunus avium","27.29","Sweet_cherry_CRS_phenotyping_2012"
"371","FR26T034","Prunus avium","20.87","Sweet_cherry_CRS_phenotyping_2011"
"372","FR26T034","Prunus avium","25.75","Sweet_cherry_CRS_phenotyping_2012"
"373","FR26T036","Prunus avium","26.09","Sweet_cherry_CRS_phenotyping_2011"
"374","FR26T036","Prunus avium","27.72","Sweet_cherry_CRS_phenotyping_2012"
"375","FR26T037","Prunus avium","24.74","Sweet_cherry_CRS_phenotyping_2011"
"376","FR26T037","Prunus avium","30.9","Sweet_cherry_CRS_phenotyping_2012"
"377","FR26T038","Prunus avium","21.92","Sweet_cherry_CRS_phenotyping_2011"
"378","FR26T038","Prunus avium","25.97","Sweet_cherry_CRS_phenotyping_2012"
"379","FR26T040","Prunus avium","28.05","Sweet_cherry_CRS_phenotyping_2012"
"380","FR27T001","Prunus avium","13.5","Sweet_cherry_CRS_phenotyping_2012"
"381","FR27T001","Prunus avium","16.6","Sweet_cherry_CRS_phenotyping_2011"
"382","FR27T006","Prunus avium","14.23","Sweet_cherry_CRS_phenotyping_2012"
"383","FR27T007","Prunus avium","19.25","Sweet_cherry_CRS_phenotyping_2012"
"384","FR27T008","Prunus avium","20.72","Sweet_cherry_CRS_phenotyping_2012"
"385","FR27T009","Prunus avium","17.93","Sweet_cherry_CRS_phenotyping_2011"
"386","FR27T010","Prunus avium","20.99","Sweet_cherry_CRS_phenotyping_2012"
"387","FR27T012","Prunus avium","15.05","Sweet_cherry_CRS_phenotyping_2011"
"388","FR27T012","Prunus avium","21.21","Sweet_cherry_CRS_phenotyping_2012"
"389","FR27T013","Prunus avium","16.79","Sweet_cherry_CRS_phenotyping_2012"
"390","FR27T013","Prunus avium","18.39","Sweet_cherry_CRS_phenotyping_2011"
"391","FR27T014","Prunus avium","18.23","Sweet_cherry_CRS_phenotyping_2011"
"392","FR27T014","Prunus avium","22.06","Sweet_cherry_CRS_phenotyping_2012"
"393","FR27T015","Prunus avium","18.32","Sweet_cherry_CRS_phenotyping_2011"
"394","FR27T015","Prunus avium","21.94","Sweet_cherry_CRS_phenotyping_2012"
"395","FR27T017","Prunus avium","16.57","Sweet_cherry_CRS_phenotyping_2012"
"396","FR27T050","Prunus avium","20.76","Sweet_cherry_CRS_phenotyping_2012"
"397","FR27T051","Prunus avium","24.55","Sweet_cherry_CRS_phenotyping_2012"
"398","FR27T052","Prunus avium","23.25","Sweet_cherry_CRS_phenotyping_2011"
"399","FR27T052","Prunus avium","27.34","Sweet_cherry_CRS_phenotyping_2012"
"400","FR27T053","Prunus avium","18.21","Sweet_cherry_CRS_phenotyping_2012"
"401","FR27T053","Prunus avium","19.46","Sweet_cherry_CRS_phenotyping_2011"
"402","FR27T054","Prunus avium","18.47","Sweet_cherry_CRS_phenotyping_2011"
"403","FR27T054","Prunus avium","21.22","Sweet_cherry_CRS_phenotyping_2012"
"404","FR27T094","Prunus avium","20.71","Sweet_cherry_CRS_phenotyping_2011"
"405","FR27T094","Prunus avium","21.71","Sweet_cherry_CRS_phenotyping_2012"
"406","FR27T096","Prunus avium","17.21","Sweet_cherry_CRS_phenotyping_2011"
"407","FR27T096","Prunus avium","20.75","Sweet_cherry_CRS_phenotyping_2012"
"408","FR27T097","Prunus avium","15.98","Sweet_cherry_CRS_phenotyping_2011"
"409","FR27T097","Prunus avium","19.61","Sweet_cherry_CRS_phenotyping_2012"
"410","FR27T099","Prunus avium","14.99","Sweet_cherry_CRS_phenotyping_2011"
"411","FR27T099","Prunus avium","19.13","Sweet_cherry_CRS_phenotyping_2012"
"412","FR27T102","Prunus avium","19.85","Sweet_cherry_CRS_phenotyping_2012"
"413","FR28T099","Prunus avium","15.71","Sweet_cherry_CRS_phenotyping_2012"
"414","FR29T073","Prunus avium","19.61","Sweet_cherry_CRS_phenotyping_2011"
"415","FR29T073","Prunus avium","20.65","Sweet_cherry_CRS_phenotyping_2012"
"416","FR29T117","Prunus avium","18.01","Sweet_cherry_CRS_phenotyping_2012"
"417","FR29T118","Prunus avium","18.69","Sweet_cherry_CRS_phenotyping_2012"
"418","FR29T119","Prunus avium","19.8","Sweet_cherry_CRS_phenotyping_2012"
"419","FR29T120","Prunus avium","16.95","Sweet_cherry_CRS_phenotyping_2011"
"420","FR29T120","Prunus avium","20.55","Sweet_cherry_CRS_phenotyping_2012"
"421","FR29T122","Prunus avium","16.95","Sweet_cherry_CRS_phenotyping_2011"
"422","FR29T122","Prunus avium","21.1","Sweet_cherry_CRS_phenotyping_2012"
"423","FR29T124","Prunus avium","14.46","Sweet_cherry_CRS_phenotyping_2011"
"424","FR29T124","Prunus avium","20.12","Sweet_cherry_CRS_phenotyping_2012"
"425","FR29T126","Prunus avium","20.7","Sweet_cherry_CRS_phenotyping_2012"
"426","FR2T035","Prunus avium","23.82","Sweet_cherry_CRS_phenotyping_2011"
"427","FR2T035","Prunus avium","25.33","Sweet_cherry_CRS_phenotyping_2010"
"428","FR2T035","Prunus avium","26.1","Sweet_cherry_CRS_phenotyping_2012"
"429","FR2T037","Prunus avium","21.53","Sweet_cherry_CRS_phenotyping_2011"
"430","FR2T037","Prunus avium","24.86","Sweet_cherry_CRS_phenotyping_2010"
"431","FR2T037","Prunus avium","26.59","Sweet_cherry_CRS_phenotyping_2012"
"432","FR2T038","Prunus avium","24.09","Sweet_cherry_CRS_phenotyping_2011"
"433","FR2T038","Prunus avium","27.13","Sweet_cherry_CRS_phenotyping_2010"
"434","FR2T038","Prunus avium","27.48","Sweet_cherry_CRS_phenotyping_2012"
"435","FR2T040","Prunus avium","23.1","Sweet_cherry_CRS_phenotyping_2011"
"436","FR2T040","Prunus avium","24.05","Sweet_cherry_CRS_phenotyping_2012"
"437","FR2T040","Prunus avium","24.07","Sweet_cherry_CRS_phenotyping_2010"
"438","FR2T045","Prunus avium","23.14","Sweet_cherry_CRS_phenotyping_2011"
"439","FR2T045","Prunus avium","25.38","Sweet_cherry_CRS_phenotyping_2010"
"440","FR2T045","Prunus avium","25.66","Sweet_cherry_CRS_phenotyping_2012"
"441","FR2T046","Prunus avium","25.94","Sweet_cherry_CRS_phenotyping_2011"
"442","FR2T046","Prunus avium","28.19","Sweet_cherry_CRS_phenotyping_2012"
"443","FR2T046","Prunus avium","28.43","Sweet_cherry_CRS_phenotyping_2010"
"444","FR2T048","Prunus avium","23.35","Sweet_cherry_CRS_phenotyping_2011"
"445","FR2T048","Prunus avium","25.41","Sweet_cherry_CRS_phenotyping_2012"
"446","FR2T049","Prunus avium","22.21","Sweet_cherry_CRS_phenotyping_2011"
"447","FR2T049","Prunus avium","24.52","Sweet_cherry_CRS_phenotyping_2010"
"448","FR2T049","Prunus avium","24.63","Sweet_cherry_CRS_phenotyping_2012"
"449","FR2T050","Prunus avium","20.49","Sweet_cherry_CRS_phenotyping_2011"
"450","FR2T050","Prunus avium","24.18","Sweet_cherry_CRS_phenotyping_2010"
"451","FR2T050","Prunus avium","24.81","Sweet_cherry_CRS_phenotyping_2012"
"452","FR2T054","Prunus avium","23.22","Sweet_cherry_CRS_phenotyping_2011"
"453","FR2T054","Prunus avium","26.66","Sweet_cherry_CRS_phenotyping_2010"
"454","FR2T054","Prunus avium","27.33","Sweet_cherry_CRS_phenotyping_2012"
"455","FR2T057","Prunus avium","20.59","Sweet_cherry_CRS_phenotyping_2011"
"456","FR2T057","Prunus avium","23.12","Sweet_cherry_CRS_phenotyping_2012"
"457","FR2T057","Prunus avium","25.81","Sweet_cherry_CRS_phenotyping_2010"
"458","FR2T079","Prunus avium","23.45","Sweet_cherry_CRS_phenotyping_2011"
"459","FR2T079","Prunus avium","24.36","Sweet_cherry_CRS_phenotyping_2010"
"460","FR2T079","Prunus avium","25.71","Sweet_cherry_CRS_phenotyping_2012"
"461","FR2T080","Prunus avium","22.01","Sweet_cherry_CRS_phenotyping_2011"
"462","FR2T080","Prunus avium","25.14","Sweet_cherry_CRS_phenotyping_2010"
"463","FR2T080","Prunus avium","25.28","Sweet_cherry_CRS_phenotyping_2012"
"464","FR30T099","Prunus avium","19.65","Sweet_cherry_CRS_phenotyping_2011"
"465","FR30T099","Prunus avium","25.67","Sweet_cherry_CRS_phenotyping_2012"
"466","FR30T100","Prunus avium","25.97","Sweet_cherry_CRS_phenotyping_2012"
"467","FR30T101","Prunus avium","29.03","Sweet_cherry_CRS_phenotyping_2012"
"468","FR30T102","Prunus avium","16.44","Sweet_cherry_CRS_phenotyping_2011"
"469","FR30T102","Prunus avium","25.74","Sweet_cherry_CRS_phenotyping_2012"
"470","FR30T103","Prunus avium","28.41","Sweet_cherry_CRS_phenotyping_2012"
"471","FR30T105","Prunus avium","25.27","Sweet_cherry_CRS_phenotyping_2012"
"472","FR30T106","Prunus avium","19.24","Sweet_cherry_CRS_phenotyping_2011"
"473","FR30T106","Prunus avium","25.81","Sweet_cherry_CRS_phenotyping_2012"
"474","FR30T107","Prunus avium","25.77","Sweet_cherry_CRS_phenotyping_2012"
"475","FR30T108","Prunus avium","22.47","Sweet_cherry_CRS_phenotyping_2011"
"476","FR30T108","Prunus avium","27.87","Sweet_cherry_CRS_phenotyping_2012"
"477","FR30T109","Prunus avium","19.63","Sweet_cherry_CRS_phenotyping_2011"
"478","FR30T109","Prunus avium","25.36","Sweet_cherry_CRS_phenotyping_2012"
"479","FR31T007","Prunus avium","20.62","Sweet_cherry_CRS_phenotyping_2011"
"480","FR31T007","Prunus avium","26.3","Sweet_cherry_CRS_phenotyping_2012"
"481","FR31T008","Prunus avium","30.53","Sweet_cherry_CRS_phenotyping_2012"
"482","FR31T009","Prunus avium","24.79","Sweet_cherry_CRS_phenotyping_2012"
"483","FR31T010","Prunus avium","26.86","Sweet_cherry_CRS_phenotyping_2011"
"484","FR31T010","Prunus avium","28.78","Sweet_cherry_CRS_phenotyping_2012"
"485","FR31T011","Prunus avium","29.12","Sweet_cherry_CRS_phenotyping_2012"
"486","FR31T013","Prunus avium","24.11","Sweet_cherry_CRS_phenotyping_2012"
"487","FR31T014","Prunus avium","26.19","Sweet_cherry_CRS_phenotyping_2012"
"488","FR33T001","Prunus avium","24.19","Sweet_cherry_CRS_phenotyping_2012"
"489","FR33T004","Prunus avium","22.56","Sweet_cherry_CRS_phenotyping_2011"
"490","FR33T004","Prunus avium","25.39","Sweet_cherry_CRS_phenotyping_2012"
"491","FR33T005","Prunus avium","25.4","Sweet_cherry_CRS_phenotyping_2011"
"492","FR33T005","Prunus avium","26.17","Sweet_cherry_CRS_phenotyping_2012"
"493","FR33T006","Prunus avium","18.47","Sweet_cherry_CRS_phenotyping_2011"
"494","FR33T006","Prunus avium","22.34","Sweet_cherry_CRS_phenotyping_2012"
"495","FR33T007","Prunus avium","23.81","Sweet_cherry_CRS_phenotyping_2012"
"496","FR33T008","Prunus avium","19.33","Sweet_cherry_CRS_phenotyping_2011"
"497","FR33T008","Prunus avium","22.2","Sweet_cherry_CRS_phenotyping_2012"
"498","FR33T011","Prunus avium","24.49","Sweet_cherry_CRS_phenotyping_2012"
"499","FR35T101","Prunus avium","23.21","Sweet_cherry_CRS_phenotyping_2011"
"500","FR35T101","Prunus avium","27.71","Sweet_cherry_CRS_phenotyping_2012"
"501","FR35T102","Prunus avium","26.5","Sweet_cherry_CRS_phenotyping_2011"
"502","FR35T102","Prunus avium","28.21","Sweet_cherry_CRS_phenotyping_2012"
"503","FR35T103","Prunus avium","25.3","Sweet_cherry_CRS_phenotyping_2011"
"504","FR35T103","Prunus avium","28.22","Sweet_cherry_CRS_phenotyping_2012"
"505","FR35T104","Prunus avium","28.07","Sweet_cherry_CRS_phenotyping_2011"
"506","FR35T104","Prunus avium","28.81","Sweet_cherry_CRS_phenotyping_2012"
"507","FR35T105","Prunus avium","24.51","Sweet_cherry_CRS_phenotyping_2011"
"508","FR35T105","Prunus avium","25.85","Sweet_cherry_CRS_phenotyping_2012"
"509","FR35T108","Prunus avium","20.58","Sweet_cherry_CRS_phenotyping_2011"
"510","FR35T108","Prunus avium","28.16","Sweet_cherry_CRS_phenotyping_2012"
"511","FR35T110","Prunus avium","23.73","Sweet_cherry_CRS_phenotyping_2011"
"512","FR35T110","Prunus avium","27.43","Sweet_cherry_CRS_phenotyping_2012"
"513","FR38T001","Prunus avium","25.12","Sweet_cherry_CRS_phenotyping_2012"
"514","FR38T002","Prunus avium","28.36","Sweet_cherry_CRS_phenotyping_2012"
"515","FR38T003","Prunus avium","30.54","Sweet_cherry_CRS_phenotyping_2012"
"516","FR38T005","Prunus avium","27.9","Sweet_cherry_CRS_phenotyping_2012"
"517","FR3T002","Prunus avium","22.41","Sweet_cherry_CRS_phenotyping_2011"
"518","FR3T002","Prunus avium","26.44","Sweet_cherry_CRS_phenotyping_2012"
"519","FR3T002","Prunus avium","27.69","Sweet_cherry_CRS_phenotyping_2010"
"520","FR3T003","Prunus avium","20","Sweet_cherry_CRS_phenotyping_2011"
"521","FR3T003","Prunus avium","24.39","Sweet_cherry_CRS_phenotyping_2012"
"522","FR3T004","Prunus avium","19.11","Sweet_cherry_CRS_phenotyping_2011"
"523","FR3T004","Prunus avium","21.96","Sweet_cherry_CRS_phenotyping_2010"
"524","FR3T004","Prunus avium","23.32","Sweet_cherry_CRS_phenotyping_2012"
"525","FR3T005","Prunus avium","22.94","Sweet_cherry_CRS_phenotyping_2011"
"526","FR3T005","Prunus avium","23.65","Sweet_cherry_CRS_phenotyping_2012"
"527","FR3T007","Prunus avium","17.31","Sweet_cherry_CRS_phenotyping_2011"
"528","FR3T007","Prunus avium","23.06","Sweet_cherry_CRS_phenotyping_2012"
"529","FR3T008","Prunus avium","21.62","Sweet_cherry_CRS_phenotyping_2011"
"530","FR3T008","Prunus avium","26.3","Sweet_cherry_CRS_phenotyping_2012"
"531","FR3T009","Prunus avium","24.55","Sweet_cherry_CRS_phenotyping_2012"
"532","FR3T009","Prunus avium","24.69","Sweet_cherry_CRS_phenotyping_2011"
"533","FR3T011","Prunus avium","27.06","Sweet_cherry_CRS_phenotyping_2012"
"534","FR3T013","Prunus avium","27.82","Sweet_cherry_CRS_phenotyping_2011"
"535","FR3T013","Prunus avium","30.86","Sweet_cherry_CRS_phenotyping_2012"
"536","FR3T014","Prunus avium","22.24","Sweet_cherry_CRS_phenotyping_2010"
"537","FR3T014","Prunus avium","23.75","Sweet_cherry_CRS_phenotyping_2011"
"538","FR3T014","Prunus avium","27.48","Sweet_cherry_CRS_phenotyping_2012"
"539","FR3T015","Prunus avium","24.21","Sweet_cherry_CRS_phenotyping_2011"
"540","FR3T015","Prunus avium","27.57","Sweet_cherry_CRS_phenotyping_2012"
"541","FR3T016","Prunus avium","25.8","Sweet_cherry_CRS_phenotyping_2011"
"542","FR3T016","Prunus avium","25.91","Sweet_cherry_CRS_phenotyping_2010"
"543","FR3T016","Prunus avium","27.06","Sweet_cherry_CRS_phenotyping_2012"
"544","FR3T017","Prunus avium","26.35","Sweet_cherry_CRS_phenotyping_2012"
"545","FR3T018","Prunus avium","25.98","Sweet_cherry_CRS_phenotyping_2011"
"546","FR3T018","Prunus avium","26.93","Sweet_cherry_CRS_phenotyping_2010"
"547","FR3T018","Prunus avium","30.47","Sweet_cherry_CRS_phenotyping_2012"
"548","FR3T019","Prunus avium","28.3","Sweet_cherry_CRS_phenotyping_2012"
"549","FR3T020","Prunus avium","24.04","Sweet_cherry_CRS_phenotyping_2010"
"550","FR3T020","Prunus avium","25","Sweet_cherry_CRS_phenotyping_2011"
"551","FR3T020","Prunus avium","28.32","Sweet_cherry_CRS_phenotyping_2012"
"552","FR3T021","Prunus avium","21.79","Sweet_cherry_CRS_phenotyping_2011"
"553","FR3T021","Prunus avium","25.82","Sweet_cherry_CRS_phenotyping_2010"
"554","FR3T021","Prunus avium","26.93","Sweet_cherry_CRS_phenotyping_2012"
"555","FR3T022","Prunus avium","22.89","Sweet_cherry_CRS_phenotyping_2011"
"556","FR3T022","Prunus avium","27.08","Sweet_cherry_CRS_phenotyping_2012"
"557","FR3T023","Prunus avium","25.45","Sweet_cherry_CRS_phenotyping_2011"
"558","FR3T023","Prunus avium","29.57","Sweet_cherry_CRS_phenotyping_2012"
"559","FR3T025","Prunus avium","23.85","Sweet_cherry_CRS_phenotyping_2010"
"560","FR3T025","Prunus avium","25.38","Sweet_cherry_CRS_phenotyping_2011"
"561","FR3T025","Prunus avium","29.01","Sweet_cherry_CRS_phenotyping_2012"
"562","FR3T026","Prunus avium","27.13","Sweet_cherry_CRS_phenotyping_2011"
"563","FR3T026","Prunus avium","28.45","Sweet_cherry_CRS_phenotyping_2012"
"564","FR3T027","Prunus avium","26.94","Sweet_cherry_CRS_phenotyping_2011"
"565","FR3T027","Prunus avium","30.26","Sweet_cherry_CRS_phenotyping_2012"
"566","FR3T028","Prunus avium","23.75","Sweet_cherry_CRS_phenotyping_2012"
"567","FR3T029","Prunus avium","23.11","Sweet_cherry_CRS_phenotyping_2010"
"568","FR3T029","Prunus avium","23.75","Sweet_cherry_CRS_phenotyping_2011"
"569","FR3T029","Prunus avium","27.95","Sweet_cherry_CRS_phenotyping_2012"
"570","FR3T030","Prunus avium","24.65","Sweet_cherry_CRS_phenotyping_2011"
"571","FR3T030","Prunus avium","28.34","Sweet_cherry_CRS_phenotyping_2012"
"572","FR3T031","Prunus avium","24.18","Sweet_cherry_CRS_phenotyping_2011"
"573","FR3T031","Prunus avium","27.64","Sweet_cherry_CRS_phenotyping_2012"
"574","FR3T032","Prunus avium","23.84","Sweet_cherry_CRS_phenotyping_2011"
"575","FR3T032","Prunus avium","27.77","Sweet_cherry_CRS_phenotyping_2012"
"576","FR3T033","Prunus avium","25.3","Sweet_cherry_CRS_phenotyping_2011"
"577","FR3T033","Prunus avium","29.19","Sweet_cherry_CRS_phenotyping_2012"
"578","FR3T034","Prunus avium","24.3","Sweet_cherry_CRS_phenotyping_2011"
"579","FR3T034","Prunus avium","28.58","Sweet_cherry_CRS_phenotyping_2012"
"580","FR3T043","Prunus avium","22.12","Sweet_cherry_CRS_phenotyping_2011"
"581","FR3T043","Prunus avium","26.45","Sweet_cherry_CRS_phenotyping_2010"
"582","FR3T043","Prunus avium","27.27","Sweet_cherry_CRS_phenotyping_2012"
"583","FR3T044","Prunus avium","23.38","Sweet_cherry_CRS_phenotyping_2011"
"584","FR3T044","Prunus avium","25.78","Sweet_cherry_CRS_phenotyping_2012"
"585","FR3T046","Prunus avium","24.58","Sweet_cherry_CRS_phenotyping_2011"
"586","FR3T046","Prunus avium","28.17","Sweet_cherry_CRS_phenotyping_2012"
"587","FR3T047","Prunus avium","21.27","Sweet_cherry_CRS_phenotyping_2011"
"588","FR3T047","Prunus avium","24.04","Sweet_cherry_CRS_phenotyping_2012"
"589","FR3T050","Prunus avium","24.72","Sweet_cherry_CRS_phenotyping_2011"
"590","FR3T050","Prunus avium","24.99","Sweet_cherry_CRS_phenotyping_2010"
"591","FR3T050","Prunus avium","25.52","Sweet_cherry_CRS_phenotyping_2012"
"592","FR3T056","Prunus avium","26.04","Sweet_cherry_CRS_phenotyping_2010"
"593","FR3T056","Prunus avium","27.74","Sweet_cherry_CRS_phenotyping_2011"
"594","FR3T056","Prunus avium","28.04","Sweet_cherry_CRS_phenotyping_2012"
"595","FR3T057","Prunus avium","24.84","Sweet_cherry_CRS_phenotyping_2010"
"596","FR3T057","Prunus avium","25.81","Sweet_cherry_CRS_phenotyping_2011"
"597","FR3T057","Prunus avium","27.83","Sweet_cherry_CRS_phenotyping_2012"
"598","FR3T058","Prunus avium","25.95","Sweet_cherry_CRS_phenotyping_2011"
"599","FR3T058","Prunus avium","30.22","Sweet_cherry_CRS_phenotyping_2012"
"600","FR42T001","Prunus avium","18.34","Sweet_cherry_CRS_phenotyping_2011"
"601","FR42T003","Prunus avium","31.17","Sweet_cherry_CRS_phenotyping_2012"
"602","FR42T005","Prunus avium","23.77","Sweet_cherry_CRS_phenotyping_2012"
"603","FR42T007","Prunus avium","28.99","Sweet_cherry_CRS_phenotyping_2012"
"604","FR42T045","Prunus avium","25.13","Sweet_cherry_CRS_phenotyping_2012"
"605","FR42T048","Prunus avium","22.09","Sweet_cherry_CRS_phenotyping_2011"
"606","FR42T048","Prunus avium","26.59","Sweet_cherry_CRS_phenotyping_2012"
"607","FR47T058","Prunus avium","29.72","Sweet_cherry_CRS_phenotyping_2012"
"608","FR47T059","Prunus avium","28.03","Sweet_cherry_CRS_phenotyping_2012"
"609","FR5T019","Prunus avium","26.65","Sweet_cherry_CRS_phenotyping_2012"
"610","FR5T019","Prunus avium","26.94","Sweet_cherry_CRS_phenotyping_2011"
"611","FR5T021","Prunus avium","27.55","Sweet_cherry_CRS_phenotyping_2011"
"612","FR5T021","Prunus avium","27.72","Sweet_cherry_CRS_phenotyping_2012"
"613","FR5T021","Prunus avium","29.83","Sweet_cherry_CRS_phenotyping_2010"
"614","FR5T025","Prunus avium","22.72","Sweet_cherry_CRS_phenotyping_2011"
"615","FR5T025","Prunus avium","28.09","Sweet_cherry_CRS_phenotyping_2012"
"616","FR8T002","Prunus avium","21.59","Sweet_cherry_CRS_phenotyping_2011"
"617","FR8T002","Prunus avium","26.28","Sweet_cherry_CRS_phenotyping_2012"
"618","FR8T003","Prunus avium","21.43","Sweet_cherry_CRS_phenotyping_2011"
"619","FR8T003","Prunus avium","26.77","Sweet_cherry_CRS_phenotyping_2012"
"620","FR8T004","Prunus avium","23.77","Sweet_cherry_CRS_phenotyping_2012"
"621","FR8T005","Prunus avium","25.39","Sweet_cherry_CRS_phenotyping_2012"
"622","FR8T006","Prunus avium","21.78","Sweet_cherry_CRS_phenotyping_2012"
"623","FR8T007","Prunus avium","24.45","Sweet_cherry_CRS_phenotyping_2012"
"624","FR8T010","Prunus avium","23.58","Sweet_cherry_CRS_phenotyping_2012"
"625","FR8T011","Prunus avium","23.51","Sweet_cherry_CRS_phenotyping_2011"
"626","FR8T011","Prunus avium","29.79","Sweet_cherry_CRS_phenotyping_2012"
"627","FR8T047","Prunus avium","28.48","Sweet_cherry_CRS_phenotyping_2012"
"628","FR8T053","Prunus avium","27.34","Sweet_cherry_CRS_phenotyping_2012"
"629","FR8T057","Prunus avium","25.39","Sweet_cherry_CRS_phenotyping_2011"
"630","FR8T057","Prunus avium","29.19","Sweet_cherry_CRS_phenotyping_2012"
"631","FR9T031","Prunus avium","27.96","Sweet_cherry_CRS_phenotyping_2010"
"632","FR9T031","Prunus avium","28","Sweet_cherry_CRS_phenotyping_2012"
"633","FR9T032","Prunus avium","27.05","Sweet_cherry_CRS_phenotyping_2011"
"634","FR9T032","Prunus avium","27.77","Sweet_cherry_CRS_phenotyping_2010"
"635","FR9T032","Prunus avium","29.17","Sweet_cherry_CRS_phenotyping_2012"
"636","FR9T033","Prunus avium","20.4","Sweet_cherry_CRS_phenotyping_2012"
"637","FR9T033","Prunus avium","28.32","Sweet_cherry_CRS_phenotyping_2011"
"638","FR9T034","Prunus avium","24.98","Sweet_cherry_CRS_phenotyping_2012"
"639","FR9T034","Prunus avium","26.42","Sweet_cherry_CRS_phenotyping_2011"
"640","FR9T081","Prunus avium","28.42","Sweet_cherry_CRS_phenotyping_2012"
"641","FR9T081","Prunus avium","29.66","Sweet_cherry_CRS_phenotyping_2011"
"642","FR9T083","Prunus avium","27.15","Sweet_cherry_CRS_phenotyping_2011"
"643","FR9T083","Prunus avium","28.16","Sweet_cherry_CRS_phenotyping_2012"
"644","FR9T084","Prunus avium","21.99","Sweet_cherry_CRS_phenotyping_2011"
"645","FR9T084","Prunus avium","27.88","Sweet_cherry_CRS_phenotyping_2012"
"646","FR9T085","Prunus avium","26.17","Sweet_cherry_CRS_phenotyping_2011"
"647","FR9T085","Prunus avium","27.41","Sweet_cherry_CRS_phenotyping_2012"
"648","FR9T086","Prunus avium","25.03","Sweet_cherry_CRS_phenotyping_2011"
"649","FR9T086","Prunus avium","27.69","Sweet_cherry_CRS_phenotyping_2012"
"650","FR9T087","Prunus avium","26.88","Sweet_cherry_CRS_phenotyping_2011"
