"","Germplasm","Species","Dataset","Bloom_Days","TA","Fruit_Dim","Flesh_C","Spec_Flesh_Color_b","Spec_Flesh_Color_a","Bulked_Fruit_SSC","Pull_Force","Pit_Lh","Spec_Skin_Color_a","Skin_C_mahogany","Spec_Skin_Color_b","Spec_Skin_Color_L","Bulked_Fruit_Firmness","FreeStone","Perc_Cracking","Fruit_Wt","SSC","Perc_Pitting","Spec_Flesh_Color_L","Pit_Wt","Fruit_Wd2","Pit_Wd1","Harvest_Time","Stem_length","Foliar_PM","Bloom_Time","Fruit_L","Bulked_Fruit_Wt","Harvest_Days","Skin_C_blush","Firmness_1","pH","Fruit_Shape","Harvest_Date","Bloom_Date"
"82","FR12T056","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",104,0.79,0.04,1,NA,NA,NA,578.2,10.81,NA,NA,NA,NA,NA,3.8,0,9.61,18.33,14.29,NA,0.38,26.38,9.64,725.42,34.74,2,155.08,21.74,8.53,176,2,251,NA,4,"6/26/2011","4/15/2011"
"83","FR12T056","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",107,0.81,0.78,1,NA,NA,NA,734.2,11.08,NA,NA,NA,NA,320.2,5,NA,10.14,26.04,NA,NA,0.46,27.08,10.02,872.83,NA,1,172.72,24.54,NA,178,4,246.8,NA,5,"6/27/2012","4/17/2012"
"84","FR12T057","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",107,0.52,1.39,4,NA,NA,NA,668.9,12.72,NA,5.8,NA,NA,216,5,NA,12,22.92,NA,NA,0.58,28.41,11.05,872.83,NA,1,172.72,26.17,NA,178,NA,214.3,NA,5,"6/27/2012","4/17/2012"
"85","FR12T058","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",103,0.32,-0.44,2,NA,NA,20.5,664.9,9.86,NA,4.7,NA,NA,218.5,4.4,0,9.4,18.37,13.33,NA,0.42,24.45,8.3,796.25,39.08,1,152.33,21.26,8.77,181,NA,202.1,NA,2.8,"7/1/2011","4/14/2011"
"86","FR12T058","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",107,0.9,1.02,3,NA,NA,NA,1038.1,11.35,NA,3.4,NA,NA,220.5,3,NA,10.37,18.92,NA,NA,0.5,27.48,10.62,937.25,NA,1,172.72,25.31,NA,182,NA,218.7,NA,2,"7/1/2012","4/17/2012"
"87","FR12T063","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",103,0.4,0.67,2.8,NA,NA,NA,489.5,11.34,NA,3,NA,NA,NA,4,0,11.44,17.3,0,NA,0.54,26.41,9.7,760.03,33.98,0,152.33,24.65,9.13,178,NA,228.6,NA,3,"6/28/2011","4/14/2011"
"88","FR12T063","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",107,0.33,1.14,4,NA,NA,NA,640.4,10.91,NA,5,NA,NA,201.4,5,NA,11.18,20.6,NA,NA,0.44,28.21,10.18,872.83,NA,0,172.72,25.19,NA,178,NA,207,NA,2,"6/27/2012","4/17/2012"
"89","FR12T066","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",108,NA,-0.5,3.5,NA,NA,NA,648.5,11.54,NA,4.8,NA,NA,NA,3,0,9.53,18.15,0,NA,0.4,21.87,9.67,760.03,42.13,1,163.61,23.3,6.65,178,NA,252.6,NA,3.8,"6/28/2011","4/19/2011"
"90","FR12T066","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",110,0.48,0.85,5,NA,NA,NA,626.1,11.92,NA,6,NA,NA,285,5,NA,9.58,23.62,NA,NA,0.46,26.68,9.94,872.83,NA,0,192.19,25.25,NA,178,NA,258.1,NA,5,"6/27/2012","4/20/2012"
"91","FR12T067","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",103,0.6,0.46,3.6,NA,NA,NA,849.4,10.45,NA,5,NA,NA,NA,3,0,9.26,15.37,0,NA,0.36,26.79,9.16,NA,34.57,0,152.33,23.32,8.7,NA,NA,238.8,NA,5,NA,"4/14/2011"
"92","FR12T067","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",104,0.76,1.28,5,NA,NA,NA,751.5,10.56,NA,6,NA,NA,249.3,4,NA,10.47,22.8,NA,NA,0.4,29.06,9.84,NA,NA,0,158.97,25.07,NA,NA,NA,251.8,NA,3,NA,"4/14/2012"
"93","FR12T068","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",104,NA,-1.03,1,NA,NA,23.1,667.9,11.46,NA,NA,NA,NA,187.9,3.6,NA,9.38,21.6,NA,NA,0.4,21.63,8.51,NA,48.16,0,155.08,21.05,6.52,NA,2.6,196.9,NA,3.8,NA,"4/15/2011"
"94","FR12T068","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",108,0.62,0.45,1,NA,NA,NA,591.4,11.61,NA,NA,NA,NA,193.7,4,NA,9.68,20.06,NA,NA,0.5,25.64,9.88,937.25,NA,0,178.25,24.32,NA,182,3,169.4,NA,3,"7/1/2012","4/18/2012"
"95","FR12T069","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",108,0.53,0.82,4,NA,NA,NA,603.7,11.06,NA,5,NA,NA,318.3,5,NA,9.76,23.44,NA,NA,0.4,27.07,9.63,872.83,NA,0,178.25,24.73,NA,178,NA,254.7,NA,5,"6/27/2012","4/18/2012"
"96","FR12T071","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",103,0.51,0.14,3,NA,NA,NA,476.2,10.68,NA,4.6,NA,NA,235,4.2,0,9.78,16.33,NA,NA,0.32,25.8,9.31,760.03,33.21,0,152.33,22.74,9.37,178,NA,212.3,NA,4,"6/28/2011","4/14/2011"
"97","FR12T071","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",105,0.41,0.64,3,NA,NA,NA,694.4,10.25,NA,5,NA,NA,186.1,4,NA,9.98,17.02,NA,NA,0.34,26.39,NA,937.25,NA,0,165.67,24.51,NA,182,NA,191.9,NA,2,"7/1/2012","4/15/2012"
"98","FR12T072","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",109,NA,-0.92,4,NA,NA,NA,448.7,12.73,NA,7,NA,NA,NA,3,0,10.02,21,0,NA,0.4,19.6,7.25,796.25,45.71,2,165.36,23.39,6.02,181,NA,243,NA,2,"7/1/2011","4/20/2011"
"99","FR12T072","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",112,NA,-0.64,5,NA,NA,NA,619,12.77,NA,7,NA,NA,171.6,5,NA,5.73,25.83,NA,NA,0.4,21.64,8.63,952.33,NA,3,217,22.87,NA,183,NA,247.23,NA,4,"7/2/2012","4/22/2012"
"100","FR12T073","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",103,NA,-0.43,3,NA,NA,NA,971.8,11.47,NA,6,NA,NA,NA,3,0,9.71,16.4,0,NA,0.36,24.49,9.76,760.03,33.92,1,152.33,21.28,7.31,178,NA,341.4,NA,4.4,"6/28/2011","4/14/2011"
"101","FR12T073","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",104,0.6,0.09,5,NA,NA,NA,572.1,10.11,NA,5,NA,NA,323.2,4,NA,7.7,23,NA,NA,0.3,24.82,9.27,872.83,NA,3,158.97,23.39,NA,178,NA,324.9,NA,5,"6/27/2012","4/14/2012"
"102","FR12T074","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",111,NA,-0.01,3,NA,NA,NA,533.3,11.32,NA,7,NA,NA,230.8,5,NA,7.07,25.3,NA,NA,0.4,24.82,9.69,NA,NA,1,202.94,22.93,NA,NA,NA,230.8,NA,5,NA,"4/21/2012"
"103","FR12T076","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",109,NA,-0.56,2.7,NA,NA,NA,479.3,11.45,NA,4.7,NA,NA,NA,3,0,8.57,15.6,33.33,NA,0.3,24.63,9.09,760.03,38.93,1,165.36,20.53,6.55,178,NA,269.3,NA,2.7,"6/28/2011","4/20/2011"
"104","FR12T076","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",111,0.41,0.88,3,NA,NA,NA,660.8,10.79,NA,4.6,NA,NA,184,4,NA,9.76,18.3,NA,NA,0.34,27.25,8.83,937.25,NA,3,202.94,24.84,NA,182,NA,226,NA,3,"7/1/2012","4/21/2012"
"105","FR12T077","Prunus avium","Sweet_cherry_CRS_phenotyping_2010",92,0.79,0.14,5,NA,NA,23.8,772.9,10.57,NA,5.8,NA,NA,NA,3.4,19,11.66,23.25,0,NA,0.35,27.9,9.71,1105.08,33.15,NA,177.33,20.84,9.07,190,NA,286,4.2,NA,"7/10/2010","4/3/2010"
"106","FR12T077","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",103,NA,0,3,NA,NA,NA,1117.6,10.56,NA,4,NA,NA,NA,4,0,10.52,20.25,0,NA,0.4,27.57,9.96,NA,39.24,0,152.33,20.48,9.32,NA,NA,295.6,NA,2.4,NA,"4/14/2011"
"107","FR12T077","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",105,0.73,1.13,4,NA,NA,NA,624.1,10.75,NA,5.4,NA,NA,248.6,5,NA,11.42,25.12,NA,NA,0.48,29.35,9.98,963.06,NA,0,165.67,24.1,NA,184,NA,264,NA,3,"7/3/2012","4/15/2012"
"108","FR12T078","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",103,0.66,0.89,3.6,NA,NA,24.9,709.7,10.7,NA,5.6,NA,NA,243.8,2.6,0,12.2,23.25,NA,NA,0.4,25.88,8.5,NA,37.22,1,152.33,26.14,10.65,NA,NA,219.6,NA,3.2,NA,"4/14/2011"
"109","FR12T078","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",104,NA,1.75,4,NA,NA,NA,596.5,11.66,NA,4,NA,NA,278.4,4,NA,12.58,22.64,NA,NA,0.42,29.28,9.89,872.83,NA,3,158.97,27.05,NA,178,NA,245.6,NA,5,"6/27/2012","4/14/2012"
"110","FR12T080","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",103,NA,-0.33,3,NA,NA,20.5,424.2,11.35,NA,5.3,NA,NA,211,3.3,0,9.7,23.15,NA,NA,0.4,23.98,8.5,944.14,36.56,2,152.33,22.18,0,191,NA,243.9,NA,2,"7/11/2011","4/14/2011"
"111","FR12T080","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",106,0.55,1.05,3,NA,NA,NA,507.8,11.14,NA,3.4,NA,NA,210.4,5,NA,11.84,17.48,NA,NA,0.52,28.21,10.14,963.06,NA,1,170.75,24.78,NA,184,NA,225.7,NA,3,"7/3/2012","4/16/2012"
"112","FR12T081","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",103,0.43,1.2,1,NA,NA,NA,615.9,12.2,NA,NA,NA,NA,NA,3,0,11.82,16.8,0,NA,0.42,29.43,9.79,760.03,44.92,0,152.33,24.35,11.88,178,1.6,153.7,NA,5,"6/28/2011","4/14/2011"
"113","FR12T081","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",106,0.39,1.66,1,NA,NA,NA,752.6,12.23,NA,NA,NA,NA,171.6,3,NA,12.5,22.42,NA,NA,0.58,29.36,10.75,784.14,NA,3,170.75,26.59,NA,171,2.6,173.3,NA,4.2,"6/20/2012","4/16/2012"
"114","FR12T091","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",104,0.65,1.1,5,NA,NA,28.2,783.1,11.48,NA,5,NA,NA,168.4,4,7.69,13.14,17.37,15.38,NA,0.5,30.09,10.2,760.03,44.43,3,155.08,23.31,11.5,178,NA,166.4,NA,2,"6/28/2011","4/15/2011"
"115","FR12T091","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",108,NA,0.53,5,NA,NA,NA,660.8,10.56,NA,6.4,NA,NA,178.4,3.8,NA,10.17,23.86,NA,NA,0.42,27.55,9.55,784.14,NA,5,178.25,22.96,NA,171,NA,175.1,NA,4.4,"6/20/2012","4/18/2012"
"116","FR12T093","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",108,0.46,-0.09,4,NA,NA,NA,556.8,10.43,NA,4.2,NA,NA,138.8,3,NA,11.13,17.43,17.65,NA,0.4,27.56,9.56,760.03,28.66,2,163.61,20.08,9.64,178,NA,160,NA,2,"6/28/2011","4/19/2011"
"117","FR12T093","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",110,0.67,0.33,5,NA,NA,NA,715.8,10.25,NA,6.8,NA,NA,141.4,5,NA,10.5,25.52,NA,NA,0.42,27.47,9.62,784.14,NA,2,192.19,22.11,NA,171,NA,138.6,NA,2,"6/20/2012","4/20/2012"
"118","FR12T094","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",109,0.88,0.54,4,NA,NA,NA,537.4,10.68,NA,5.6,NA,NA,308.2,5,NA,9.18,23.76,NA,NA,0.56,28.04,10.2,963.06,NA,0,181.58,22.58,NA,184,NA,297.7,NA,5,"7/3/2012","4/19/2012"
"119","FR13T058","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",105,NA,-0.45,4,NA,NA,NA,716.9,11.28,NA,6,NA,NA,143.1,3,0,8.96,21.1,NA,NA,0.5,24.62,10.41,760.03,36.03,1,160.83,21.06,7.96,178,NA,143.1,NA,NA,"6/28/2011","4/16/2011"
"120","FR13T058","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",107,NA,0.42,5,NA,NA,NA,559.8,10.31,NA,6,NA,NA,NA,4,NA,9.82,21.4,NA,NA,0.45,27.26,10.45,801.39,NA,1,172.72,22.7,NA,172,NA,NA,NA,NA,"6/21/2012","4/17/2012"
"121","FR13T061","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",108,NA,-0.39,3.2,NA,NA,21,654.7,11.32,NA,5,NA,NA,247.8,3,0,8.25,22.45,NA,NA,0.4,23.93,8.7,812.03,34.97,0,163.61,21.94,8.18,182,NA,251.8,NA,NA,"7/2/2011","4/19/2011"
"122","FR13T061","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",111,0.79,0.92,4,NA,NA,NA,809.7,11.29,NA,5,NA,NA,306.9,5,NA,9.77,24.46,NA,NA,0.5,28.37,10.32,963.06,NA,0,202.94,24.01,NA,184,NA,255.1,NA,NA,"7/3/2012","4/21/2012"
"123","FR14T012","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",108,NA,-0.84,5,NA,NA,NA,883.1,9.49,NA,6.5,NA,NA,291.9,1,NA,NA,28.15,NA,NA,0.41,25.18,9.96,801.39,NA,4,178.25,18.75,NA,172,NA,291.9,NA,4.5,"6/21/2012","4/18/2012"
"124","FR14T056","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",114,0.93,0.14,4.6,NA,NA,NA,1399.1,11.64,NA,5.8,NA,NA,325.9,3,0,11.43,21.75,11.76,NA,0.78,27.71,10.86,902.86,40.81,2,180.28,21.02,10.78,188,NA,338,NA,5,"7/8/2011","4/25/2011"
"125","FR14T056","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",113,1.11,1.69,5,NA,NA,NA,918.8,12.37,NA,7,NA,NA,280.1,4,NA,12,23.7,NA,NA,0.7,30.35,11.1,937.25,NA,2,233.25,25.82,NA,182,NA,278.4,NA,5,"7/1/2012","4/23/2012"
"126","FR14T057","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",111,NA,0.04,3.2,NA,NA,23.4,994.2,12.5,NA,4,NA,NA,282.1,3,NA,10.63,24.63,NA,NA,0.58,23.66,9.38,NA,39.49,2,168.58,24.21,9.09,NA,NA,303.1,NA,3,NA,"4/22/2011"
"127","FR14T057","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",111,0.58,0.47,3,NA,NA,NA,1113.5,11.94,NA,5,NA,NA,272.6,4,NA,10,23.12,NA,NA,0.56,25.49,10.01,NA,NA,2,202.94,24.56,NA,NA,NA,283.3,NA,5,NA,"4/21/2012"
"128","FR14T060","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",113,0.61,-0.09,4.4,NA,NA,26.6,905.5,13.08,NA,6,NA,NA,302.5,3.4,0,10.53,25.8,NA,NA,0.62,23.58,10.05,958.81,48.06,1,176.64,23.64,8.19,192,NA,277.7,NA,2.8,"7/12/2011","4/24/2011"
"129","FR14T060","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",112,0.85,0.79,5,NA,NA,NA,813.7,12.79,NA,6,NA,NA,NA,4,NA,10.78,26.4,NA,NA,0.56,26.52,10.54,1101.94,NA,2,217,25.08,NA,192,NA,260.9,NA,2,"7/11/2012","4/22/2012"
"130","FR14T075","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",114,0.67,-1.09,2,NA,NA,22.5,1035,12.23,NA,5,NA,NA,415.8,3,0,10.33,22.45,NA,NA,0.66,21.04,9.69,958.81,39.95,0,180.28,21.29,5.92,192,NA,304.3,NA,3,"7/12/2011","4/25/2011"
"131","FR14T075","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",113,0.62,-0.24,2,NA,NA,NA,1356.2,11.16,NA,4,NA,NA,283.3,2,NA,8.1,22.89,NA,NA,0.46,24.06,9.06,1101.94,NA,1,233.25,22.51,NA,192,NA,297.4,NA,5,"7/11/2012","4/23/2012"
"132","FR14T076","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",115,NA,-1.82,2.4,NA,NA,NA,1137,10.5,NA,3,NA,NA,484.8,3,0,13.43,18.3,NA,NA,0.34,20.43,9.2,914.56,47.86,0,184.83,18.45,4.41,189,NA,373.8,NA,4.6,"7/9/2011","4/26/2011"
"133","FR14T076","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",112,0.76,-0.05,3,NA,NA,NA,1395,11.33,NA,3,NA,NA,277.6,3,NA,8.4,24.26,NA,NA,0.48,24.56,9.57,1101.94,NA,1,217,22.97,NA,192,NA,303.5,NA,2,"7/11/2012","4/22/2012"
"134","FR14T078","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",113,NA,-0.81,4,NA,NA,NA,1376.6,10.86,NA,5,NA,NA,271.1,3.4,0,10.5,19.55,NA,NA,0.42,22.89,9.62,914.56,41.12,0,176.64,20.93,6.89,189,NA,281.7,NA,3,"7/9/2011","4/24/2011"
"135","FR14T078","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",111,0.85,1.12,4,NA,NA,NA,888.2,11.37,NA,6,NA,NA,177.7,4,NA,10.88,20.36,NA,NA,0.54,27.71,9.86,937.25,NA,1,202.94,25.54,NA,182,NA,221.5,NA,5,"7/1/2012","4/21/2012"
"136","FR14T079","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",114,NA,-0.98,3.8,NA,NA,NA,910.6,11.31,NA,4.4,NA,NA,327,4,0,10.6,21.45,NA,NA,0.46,21.69,10.24,914.56,46.13,0,180.28,21.24,6.17,189,NA,332.9,NA,5,"7/9/2011","4/25/2011"
"137","FR14T079","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",111,0.81,-0.15,4,NA,NA,NA,1011.6,11.14,NA,5,NA,NA,247.3,5,NA,8.2,21.16,NA,NA,0.46,23.8,9.55,937.25,NA,1,202.94,23.17,NA,182,NA,272.2,NA,5,"7/1/2012","4/21/2012"
"138","FR14T080","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",115,NA,0.77,1,NA,NA,26.2,1752.9,12.13,NA,NA,NA,NA,293.3,3,0,11.75,25.7,NA,NA,0.76,26.45,9.49,NA,61.91,1,184.83,25.08,10.73,NA,3,299.3,NA,2,NA,"4/26/2011"
"139","FR14T080","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",112,0.83,0.38,1,NA,NA,NA,906.5,10.87,NA,NA,NA,NA,287.5,4,NA,9.52,20.94,NA,NA,0.56,26.27,10.58,NA,NA,2,217,23.43,NA,NA,3.6,293.4,NA,3.8,NA,"4/22/2012"
"140","FR14T081","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",108,0.86,-0.03,4.2,NA,NA,21.5,1144.1,10.72,NA,5,NA,NA,168.3,3,0,10.9,22.1,NA,NA,0.44,24.16,9.22,NA,51.76,0,163.61,23.4,9.31,NA,NA,274,NA,3.8,NA,"4/19/2011"
"141","FR14T081","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",111,0.97,0.89,4,NA,NA,NA,1197.1,10.74,NA,4.6,NA,NA,205.7,4,NA,11.1,21.82,NA,NA,0.5,28.33,10.13,NA,NA,2,202.94,23.92,NA,NA,NA,222.3,NA,2,NA,"4/21/2012"
"142","FR14T082","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",115,0.78,0.37,4,NA,NA,NA,1169.6,11.9,NA,3.4,NA,NA,245.7,3.6,0,9.47,17.35,NA,NA,0.5,26.54,10.46,902.86,46.76,0,184.83,23.13,9.04,188,NA,273.8,NA,5,"7/8/2011","4/26/2011"
"143","FR14T082","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",111,0.72,1.23,3,NA,NA,NA,NA,10.83,NA,3.6,NA,NA,210.7,3,NA,11.7,18.6,NA,NA,0.48,28.88,9.89,937.25,NA,0,202.94,25.03,NA,182,NA,252.7,NA,5,"7/1/2012","4/21/2012"
"144","FR14T084","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",109,0.59,-1.66,3,NA,NA,NA,1164.5,11.34,NA,5,NA,NA,362.2,2,0,11.46,19.55,12.5,NA,0.42,21.31,9.99,891.58,39.54,0,165.36,18.39,5.62,187,NA,331.4,NA,4.4,"7/7/2011","4/20/2011"
"145","FR14T084","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",112,0.91,0.37,3.6,NA,NA,NA,977.9,10.82,NA,6,NA,NA,301.1,4,NA,9.75,24.87,NA,NA,0.58,25.95,10.15,937.25,NA,1,217,23.66,NA,182,NA,313.4,NA,5,"7/1/2012","4/22/2012"
"146","FR14T086","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",115,0.58,-0.24,3.6,NA,NA,NA,1719.2,12.49,NA,3.4,NA,NA,317.2,3.2,0,10.2,18.25,NA,NA,0.48,24.69,10.13,972.25,44.3,0,184.83,21.95,6.13,193,NA,300.6,NA,3,"7/13/2011","4/26/2011"
"147","FR14T086","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",113,0.64,0.58,3,NA,NA,NA,1173.7,11.55,NA,5,NA,NA,206.5,4,NA,8.83,24.9,NA,NA,0.52,26.82,10.12,1101.94,NA,0,233.25,23.84,NA,192,NA,255.4,NA,2,"7/11/2012","4/23/2012"
"148","FR14T100","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",104,0.8,-1.65,2,NA,NA,NA,1624.4,10.38,NA,4,NA,NA,408,4,0,11.58,20.87,6.25,NA,0.42,21.99,8.55,914.56,36.87,0,155.08,17.83,5.96,189,NA,375,NA,5,"7/9/2011","4/15/2011"
"149","FR14T100","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",108,0.86,0.16,3,NA,NA,NA,986.1,10.09,NA,5,NA,NA,331.1,3,NA,9.37,25.14,NA,NA,0.5,26.24,9.29,937.25,NA,1,178.25,22.42,NA,182,NA,329.9,NA,3,"7/1/2012","4/18/2012"
"150","FR16T001","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",113,0.93,-1.03,2,NA,NA,NA,710.7,12.81,NA,5,NA,NA,304.3,1,NA,7.2,26.9,NA,NA,0.38,22.94,9.17,1084.14,NA,2,233.25,19.88,NA,191,NA,329.1,NA,3,"7/10/2012","4/23/2012"
"151","FR16T024","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",110,0.68,-0.85,2.6,NA,NA,NA,1261.4,11.63,NA,4.2,NA,NA,348.3,4,0,11.57,14.65,NA,NA,0.44,22.89,9.9,NA,26.98,1,167.06,20.73,NA,NA,NA,263,NA,2.8,NA,"4/21/2011"
"152","FR16T024","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",112,1,-0.63,3,NA,NA,NA,755.6,10.88,NA,6,NA,NA,270.9,4,NA,9.65,21.12,NA,NA,0.44,25.83,9.79,NA,NA,4,217,19.12,NA,NA,NA,270.1,NA,3.2,NA,"4/22/2012"
"153","FR16T040","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",112,NA,-2.46,3,NA,NA,NA,742.4,10.97,NA,4.3,NA,NA,307.1,1,NA,NA,25.23,NA,NA,0.38,18.36,9.1,801.39,NA,3,217,17.38,NA,172,NA,347.9,NA,4.3,"6/21/2012","4/22/2012"
"154","FR16T041","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",113,0.59,1.29,1,NA,NA,NA,689.3,11.74,NA,NA,NA,NA,213.6,3,NA,11.76,21.84,NA,NA,0.4,29.68,10.27,952.33,NA,4,233.25,24.58,NA,183,4,224.3,NA,3,"7/2/2012","4/23/2012"
"155","FR17T006","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",111,0.57,-1.72,1,NA,NA,24.3,628.1,10.62,NA,NA,NA,NA,255.6,2.6,0,10.88,23.55,7.69,NA,0.34,19.81,7.71,812.03,44.14,3,168.58,19.51,5.27,182,2,280,NA,3,"7/2/2011","4/22/2011"
"156","FR17T006","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",111,0.72,-1.09,1,NA,NA,NA,576.1,10.96,NA,NA,NA,NA,276.7,3,NA,10,26.02,NA,NA,0.32,21.35,9.2,952.33,NA,3,202.94,21.02,NA,183,4,295.3,NA,5,"7/2/2012","4/21/2012"
"157","FR17T051","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",110,NA,-1.86,1,NA,NA,31,906.5,9.58,NA,3,NA,NA,148.1,NA,0,11.1,24.2,100,NA,0.3,19.48,8.31,812.03,36.81,3,167.06,19.12,7.1,182,NA,254,NA,3,"7/2/2011","4/21/2011"
"158","FR17T062","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",111,NA,1.78,3,NA,NA,NA,672,11.75,NA,3.6,NA,NA,196.9,5,NA,13.33,24.96,NA,NA,0.42,29.95,10.45,952.33,NA,2,202.94,26.58,NA,183,NA,216.5,NA,5,"7/2/2012","4/21/2012"
"159","FR18T017","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",104,NA,-0.36,3,NA,NA,NA,740.3,11.36,NA,5.3,NA,NA,274.3,4,0,10.24,17.65,33.33,NA,0.4,24.93,9.22,774.19,51.6,3,155.08,21.17,7.44,179,NA,240.5,NA,5,"6/29/2011","4/15/2011"
"160","FR18T017","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",110,0.7,-0.02,4,NA,NA,NA,708.7,11.12,NA,6,NA,NA,284.1,4,NA,7.78,24.96,NA,NA,0.48,25.01,9.27,801.39,NA,4,192.19,22.68,NA,172,NA,272.8,NA,5,"6/21/2012","4/20/2012"
"161","FR18T018","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",114,0.5,0.04,3.8,NA,NA,19.6,482.3,11.58,NA,5.4,NA,NA,285.2,3,0,10.1,17.53,NA,NA,0.46,23.79,8.43,914.56,41.35,4,180.28,24.07,NA,189,NA,251.5,NA,2.6,"7/9/2011","4/25/2011"
"162","FR18T018","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",115,0.43,0.15,3,NA,NA,NA,672,11.45,NA,4,NA,NA,271.8,5,NA,7.83,17.9,NA,NA,0.34,25.12,8.63,952.33,NA,5,256.36,23.37,NA,183,NA,262.9,NA,5,"7/2/2012","4/25/2012"
"163","FR18T019","Prunus avium","Sweet_cherry_CRS_phenotyping_2011",104,NA,-0.15,2,NA,NA,18.9,547.6,12.54,NA,3,NA,NA,232.9,3,0,9.65,17.4,25,NA,0.4,23.2,8.23,902.86,55.68,4,155.08,23.72,9,188,NA,222.1,NA,3,"7/8/2011","4/15/2011"
"164","FR18T019","Prunus avium","Sweet_cherry_CRS_phenotyping_2012",109,0.64,1.45,3,NA,NA,NA,856.6,13.22,NA,2,NA,NA,287.3,4,NA,11.29,17.04,NA,NA,0.48,28.46,10.11,952.33,NA,4,181.58,26.4,NA,183,NA,256.2,NA,5,"7/2/2012","4/19/2012"
