"#","Germplasm","Species","Pit_Wd1","Dataset"
"326","FR22T002","Prunus avium","8.33","Sweet_cherry_CRS_phenotyping_2011"
"327","FR22T002","Prunus avium","9.84","Sweet_cherry_CRS_phenotyping_2012"
"328","FR22T003","Prunus avium","10.02","Sweet_cherry_CRS_phenotyping_2012"
"329","FR22T004","Prunus avium","9.62","Sweet_cherry_CRS_phenotyping_2011"
"330","FR22T004","Prunus avium","9.69","Sweet_cherry_CRS_phenotyping_2012"
"331","FR22T006","Prunus avium","9.69","Sweet_cherry_CRS_phenotyping_2012"
"332","FR22T007","Prunus avium","10.19","Sweet_cherry_CRS_phenotyping_2012"
"333","FR23T065","Prunus avium","9.27","Sweet_cherry_CRS_phenotyping_2012"
"334","FR23T067","Prunus avium","8.81","Sweet_cherry_CRS_phenotyping_2012"
"335","FR23T068","Prunus avium","8.86","Sweet_cherry_CRS_phenotyping_2012"
"336","FR23T069","Prunus avium","8.87","Sweet_cherry_CRS_phenotyping_2012"
"337","FR23T072","Prunus avium","9.85","Sweet_cherry_CRS_phenotyping_2012"
"338","FR23T089","Prunus avium","8.8","Sweet_cherry_CRS_phenotyping_2012"
"339","FR23T090","Prunus avium","8.06","Sweet_cherry_CRS_phenotyping_2011"
"340","FR23T090","Prunus avium","8.78","Sweet_cherry_CRS_phenotyping_2012"
"341","FR23T091","Prunus avium","8.87","Sweet_cherry_CRS_phenotyping_2012"
"342","FR23T095","Prunus avium","8.95","Sweet_cherry_CRS_phenotyping_2012"
"343","FR23T113","Prunus avium","9.26","Sweet_cherry_CRS_phenotyping_2012"
"344","FR23T116","Prunus avium","9.62","Sweet_cherry_CRS_phenotyping_2012"
"345","FR23T119","Prunus avium","8.66","Sweet_cherry_CRS_phenotyping_2011"
"346","FR23T120","Prunus avium","9.13","Sweet_cherry_CRS_phenotyping_2011"
"347","FR23T120","Prunus avium","9.13","Sweet_cherry_CRS_phenotyping_2012"
"348","FR23T127","Prunus avium","10.26","Sweet_cherry_CRS_phenotyping_2012"
"349","FR23T128","Prunus avium","9.36","Sweet_cherry_CRS_phenotyping_2012"
"350","FR23T129","Prunus avium","8.93","Sweet_cherry_CRS_phenotyping_2011"
"351","FR23T129","Prunus avium","9.33","Sweet_cherry_CRS_phenotyping_2012"
"352","FR23T130","Prunus avium","8.49","Sweet_cherry_CRS_phenotyping_2011"
"353","FR23T130","Prunus avium","9.78","Sweet_cherry_CRS_phenotyping_2012"
"354","FR23T131","Prunus avium","9.52","Sweet_cherry_CRS_phenotyping_2012"
"355","FR23T131","Prunus avium","9.6","Sweet_cherry_CRS_phenotyping_2011"
"356","FR24T069","Prunus avium","9.29","Sweet_cherry_CRS_phenotyping_2012"
"357","FR24T072","Prunus avium","9.98","Sweet_cherry_CRS_phenotyping_2012"
"358","FR24T077","Prunus avium","8.09","Sweet_cherry_CRS_phenotyping_2011"
"359","FR25T081","Prunus avium","8.8","Sweet_cherry_CRS_phenotyping_2011"
"360","FR25T081","Prunus avium","9.26","Sweet_cherry_CRS_phenotyping_2012"
"361","FR25T084","Prunus avium","9.63","Sweet_cherry_CRS_phenotyping_2012"
"362","FR25T086","Prunus avium","9.29","Sweet_cherry_CRS_phenotyping_2012"
"363","FR25T090","Prunus avium","8.8","Sweet_cherry_CRS_phenotyping_2011"
"364","FR25T090","Prunus avium","9.03","Sweet_cherry_CRS_phenotyping_2012"
"365","FR26T030","Prunus avium","9.57","Sweet_cherry_CRS_phenotyping_2012"
"366","FR26T031","Prunus avium","9.34","Sweet_cherry_CRS_phenotyping_2012"
"367","FR26T033","Prunus avium","8.99","Sweet_cherry_CRS_phenotyping_2011"
"368","FR26T033","Prunus avium","10","Sweet_cherry_CRS_phenotyping_2012"
"369","FR26T034","Prunus avium","8.24","Sweet_cherry_CRS_phenotyping_2011"
"370","FR26T034","Prunus avium","9.94","Sweet_cherry_CRS_phenotyping_2012"
"371","FR26T036","Prunus avium","8.69","Sweet_cherry_CRS_phenotyping_2011"
"372","FR26T036","Prunus avium","9.61","Sweet_cherry_CRS_phenotyping_2012"
"373","FR26T037","Prunus avium","9.23","Sweet_cherry_CRS_phenotyping_2011"
"374","FR26T037","Prunus avium","11.04","Sweet_cherry_CRS_phenotyping_2012"
"375","FR26T038","Prunus avium","7.67","Sweet_cherry_CRS_phenotyping_2011"
"376","FR26T038","Prunus avium","9.39","Sweet_cherry_CRS_phenotyping_2012"
"377","FR26T040","Prunus avium","9.65","Sweet_cherry_CRS_phenotyping_2012"
"378","FR27T001","Prunus avium","7.13","Sweet_cherry_CRS_phenotyping_2011"
"379","FR27T001","Prunus avium","8.8","Sweet_cherry_CRS_phenotyping_2012"
"380","FR27T006","Prunus avium","8.83","Sweet_cherry_CRS_phenotyping_2012"
"381","FR27T007","Prunus avium","9.6","Sweet_cherry_CRS_phenotyping_2012"
"382","FR27T008","Prunus avium","8.73","Sweet_cherry_CRS_phenotyping_2012"
"383","FR27T009","Prunus avium","7.65","Sweet_cherry_CRS_phenotyping_2011"
"384","FR27T010","Prunus avium","9.58","Sweet_cherry_CRS_phenotyping_2012"
"385","FR27T012","Prunus avium","7.13","Sweet_cherry_CRS_phenotyping_2011"
"386","FR27T012","Prunus avium","9.27","Sweet_cherry_CRS_phenotyping_2012"
"387","FR27T013","Prunus avium","8.06","Sweet_cherry_CRS_phenotyping_2011"
"388","FR27T013","Prunus avium","8.73","Sweet_cherry_CRS_phenotyping_2012"
"389","FR27T014","Prunus avium","7.68","Sweet_cherry_CRS_phenotyping_2011"
"390","FR27T014","Prunus avium","9.08","Sweet_cherry_CRS_phenotyping_2012"
"391","FR27T015","Prunus avium","7.51","Sweet_cherry_CRS_phenotyping_2011"
"392","FR27T015","Prunus avium","9.47","Sweet_cherry_CRS_phenotyping_2012"
"393","FR27T017","Prunus avium","8.34","Sweet_cherry_CRS_phenotyping_2012"
"394","FR27T050","Prunus avium","6.96","Sweet_cherry_CRS_phenotyping_2012"
"395","FR27T051","Prunus avium","9.87","Sweet_cherry_CRS_phenotyping_2012"
"396","FR27T052","Prunus avium","7.63","Sweet_cherry_CRS_phenotyping_2011"
"397","FR27T052","Prunus avium","9.45","Sweet_cherry_CRS_phenotyping_2012"
"398","FR27T053","Prunus avium","8.25","Sweet_cherry_CRS_phenotyping_2011"
"399","FR27T053","Prunus avium","9.14","Sweet_cherry_CRS_phenotyping_2012"
"400","FR27T054","Prunus avium","7.83","Sweet_cherry_CRS_phenotyping_2011"
"401","FR27T054","Prunus avium","9","Sweet_cherry_CRS_phenotyping_2012"
"402","FR27T094","Prunus avium","8.15","Sweet_cherry_CRS_phenotyping_2011"
"403","FR27T094","Prunus avium","9.34","Sweet_cherry_CRS_phenotyping_2012"
"404","FR27T096","Prunus avium","7.24","Sweet_cherry_CRS_phenotyping_2011"
"405","FR27T096","Prunus avium","9.06","Sweet_cherry_CRS_phenotyping_2012"
"406","FR27T097","Prunus avium","7.45","Sweet_cherry_CRS_phenotyping_2011"
"407","FR27T097","Prunus avium","9.36","Sweet_cherry_CRS_phenotyping_2012"
"408","FR27T099","Prunus avium","7.37","Sweet_cherry_CRS_phenotyping_2011"
"409","FR27T099","Prunus avium","8.94","Sweet_cherry_CRS_phenotyping_2012"
"410","FR27T102","Prunus avium","9.3","Sweet_cherry_CRS_phenotyping_2012"
"411","FR28T099","Prunus avium","8.42","Sweet_cherry_CRS_phenotyping_2012"
"412","FR29T073","Prunus avium","8.72","Sweet_cherry_CRS_phenotyping_2011"
"413","FR29T073","Prunus avium","9.46","Sweet_cherry_CRS_phenotyping_2012"
"414","FR29T117","Prunus avium","8.29","Sweet_cherry_CRS_phenotyping_2012"
"415","FR29T118","Prunus avium","8.32","Sweet_cherry_CRS_phenotyping_2012"
"416","FR29T119","Prunus avium","8.48","Sweet_cherry_CRS_phenotyping_2012"
"417","FR29T120","Prunus avium","7.44","Sweet_cherry_CRS_phenotyping_2011"
"418","FR29T120","Prunus avium","9.3","Sweet_cherry_CRS_phenotyping_2012"
"419","FR29T122","Prunus avium","7.69","Sweet_cherry_CRS_phenotyping_2011"
"420","FR29T122","Prunus avium","8.97","Sweet_cherry_CRS_phenotyping_2012"
"421","FR29T124","Prunus avium","7.46","Sweet_cherry_CRS_phenotyping_2011"
"422","FR29T124","Prunus avium","8.65","Sweet_cherry_CRS_phenotyping_2012"
"423","FR29T126","Prunus avium","9.19","Sweet_cherry_CRS_phenotyping_2012"
"424","FR2T035","Prunus avium","9.44","Sweet_cherry_CRS_phenotyping_2011"
"425","FR2T035","Prunus avium","10.12","Sweet_cherry_CRS_phenotyping_2012"
"426","FR2T035","Prunus avium","11.02","Sweet_cherry_CRS_phenotyping_2010"
"427","FR2T037","Prunus avium","8.96","Sweet_cherry_CRS_phenotyping_2011"
"428","FR2T037","Prunus avium","10.25","Sweet_cherry_CRS_phenotyping_2010"
"429","FR2T037","Prunus avium","10.92","Sweet_cherry_CRS_phenotyping_2012"
"430","FR2T038","Prunus avium","9.29","Sweet_cherry_CRS_phenotyping_2011"
"431","FR2T038","Prunus avium","10.54","Sweet_cherry_CRS_phenotyping_2010"
"432","FR2T038","Prunus avium","10.55","Sweet_cherry_CRS_phenotyping_2012"
"433","FR2T040","Prunus avium","8.25","Sweet_cherry_CRS_phenotyping_2011"
"434","FR2T040","Prunus avium","9.49","Sweet_cherry_CRS_phenotyping_2010"
"435","FR2T040","Prunus avium","9.64","Sweet_cherry_CRS_phenotyping_2012"
"436","FR2T045","Prunus avium","9.17","Sweet_cherry_CRS_phenotyping_2012"
"437","FR2T045","Prunus avium","10.45","Sweet_cherry_CRS_phenotyping_2011"
"438","FR2T045","Prunus avium","10.86","Sweet_cherry_CRS_phenotyping_2010"
"439","FR2T046","Prunus avium","9.54","Sweet_cherry_CRS_phenotyping_2011"
"440","FR2T046","Prunus avium","10.52","Sweet_cherry_CRS_phenotyping_2010"
"441","FR2T046","Prunus avium","11.01","Sweet_cherry_CRS_phenotyping_2012"
"442","FR2T048","Prunus avium","9.07","Sweet_cherry_CRS_phenotyping_2011"
"443","FR2T048","Prunus avium","10.45","Sweet_cherry_CRS_phenotyping_2012"
"444","FR2T049","Prunus avium","8.33","Sweet_cherry_CRS_phenotyping_2011"
"445","FR2T049","Prunus avium","10.65","Sweet_cherry_CRS_phenotyping_2010"
"446","FR2T049","Prunus avium","10.83","Sweet_cherry_CRS_phenotyping_2012"
"447","FR2T050","Prunus avium","9.4","Sweet_cherry_CRS_phenotyping_2011"
"448","FR2T050","Prunus avium","10.35","Sweet_cherry_CRS_phenotyping_2010"
"449","FR2T050","Prunus avium","10.84","Sweet_cherry_CRS_phenotyping_2012"
"450","FR2T054","Prunus avium","9.54","Sweet_cherry_CRS_phenotyping_2011"
"451","FR2T054","Prunus avium","10.89","Sweet_cherry_CRS_phenotyping_2010"
"452","FR2T054","Prunus avium","11.18","Sweet_cherry_CRS_phenotyping_2012"
"453","FR2T057","Prunus avium","9.4","Sweet_cherry_CRS_phenotyping_2011"
"454","FR2T057","Prunus avium","10.72","Sweet_cherry_CRS_phenotyping_2012"
"455","FR2T057","Prunus avium","10.96","Sweet_cherry_CRS_phenotyping_2010"
"456","FR2T079","Prunus avium","8.21","Sweet_cherry_CRS_phenotyping_2011"
"457","FR2T079","Prunus avium","9.82","Sweet_cherry_CRS_phenotyping_2012"
"458","FR2T079","Prunus avium","9.98","Sweet_cherry_CRS_phenotyping_2010"
"459","FR2T080","Prunus avium","9","Sweet_cherry_CRS_phenotyping_2011"
"460","FR2T080","Prunus avium","10.34","Sweet_cherry_CRS_phenotyping_2012"
"461","FR2T080","Prunus avium","10.67","Sweet_cherry_CRS_phenotyping_2010"
"462","FR30T099","Prunus avium","8.71","Sweet_cherry_CRS_phenotyping_2011"
"463","FR30T099","Prunus avium","9.72","Sweet_cherry_CRS_phenotyping_2012"
"464","FR30T100","Prunus avium","9.59","Sweet_cherry_CRS_phenotyping_2012"
"465","FR30T101","Prunus avium","10.21","Sweet_cherry_CRS_phenotyping_2012"
"466","FR30T102","Prunus avium","8.02","Sweet_cherry_CRS_phenotyping_2011"
"467","FR30T102","Prunus avium","9.82","Sweet_cherry_CRS_phenotyping_2012"
"468","FR30T103","Prunus avium","9.7","Sweet_cherry_CRS_phenotyping_2012"
"469","FR30T105","Prunus avium","9.61","Sweet_cherry_CRS_phenotyping_2012"
"470","FR30T106","Prunus avium","7.53","Sweet_cherry_CRS_phenotyping_2011"
"471","FR30T106","Prunus avium","9.27","Sweet_cherry_CRS_phenotyping_2012"
"472","FR30T107","Prunus avium","8.76","Sweet_cherry_CRS_phenotyping_2012"
"473","FR30T108","Prunus avium","8.52","Sweet_cherry_CRS_phenotyping_2011"
"474","FR30T108","Prunus avium","9.94","Sweet_cherry_CRS_phenotyping_2012"
"475","FR30T109","Prunus avium","7.8","Sweet_cherry_CRS_phenotyping_2011"
"476","FR30T109","Prunus avium","8.94","Sweet_cherry_CRS_phenotyping_2012"
"477","FR31T007","Prunus avium","8.55","Sweet_cherry_CRS_phenotyping_2011"
"478","FR31T007","Prunus avium","10.49","Sweet_cherry_CRS_phenotyping_2012"
"479","FR31T008","Prunus avium","10.27","Sweet_cherry_CRS_phenotyping_2012"
"480","FR31T009","Prunus avium","10.52","Sweet_cherry_CRS_phenotyping_2012"
"481","FR31T010","Prunus avium","9.34","Sweet_cherry_CRS_phenotyping_2011"
"482","FR31T010","Prunus avium","10.65","Sweet_cherry_CRS_phenotyping_2012"
"483","FR31T011","Prunus avium","11.28","Sweet_cherry_CRS_phenotyping_2012"
"484","FR31T013","Prunus avium","10.1","Sweet_cherry_CRS_phenotyping_2012"
"485","FR31T014","Prunus avium","10.41","Sweet_cherry_CRS_phenotyping_2012"
"486","FR33T001","Prunus avium","9.32","Sweet_cherry_CRS_phenotyping_2012"
"487","FR33T004","Prunus avium","8.76","Sweet_cherry_CRS_phenotyping_2011"
"488","FR33T004","Prunus avium","9.69","Sweet_cherry_CRS_phenotyping_2012"
"489","FR33T005","Prunus avium","8.49","Sweet_cherry_CRS_phenotyping_2011"
"490","FR33T005","Prunus avium","9.26","Sweet_cherry_CRS_phenotyping_2012"
"491","FR33T006","Prunus avium","8.18","Sweet_cherry_CRS_phenotyping_2011"
"492","FR33T006","Prunus avium","9.31","Sweet_cherry_CRS_phenotyping_2012"
"493","FR33T007","Prunus avium","10.12","Sweet_cherry_CRS_phenotyping_2012"
"494","FR33T008","Prunus avium","8.7","Sweet_cherry_CRS_phenotyping_2011"
"495","FR33T008","Prunus avium","9.19","Sweet_cherry_CRS_phenotyping_2012"
"496","FR33T011","Prunus avium","10.14","Sweet_cherry_CRS_phenotyping_2012"
"497","FR35T101","Prunus avium","8.47","Sweet_cherry_CRS_phenotyping_2011"
"498","FR35T101","Prunus avium","10.59","Sweet_cherry_CRS_phenotyping_2012"
"499","FR35T102","Prunus avium","8.51","Sweet_cherry_CRS_phenotyping_2011"
"500","FR35T102","Prunus avium","10.91","Sweet_cherry_CRS_phenotyping_2012"
"501","FR35T103","Prunus avium","9.12","Sweet_cherry_CRS_phenotyping_2011"
"502","FR35T103","Prunus avium","9.84","Sweet_cherry_CRS_phenotyping_2012"
"503","FR35T104","Prunus avium","8.91","Sweet_cherry_CRS_phenotyping_2012"
"504","FR35T104","Prunus avium","9.53","Sweet_cherry_CRS_phenotyping_2011"
"505","FR35T105","Prunus avium","9.03","Sweet_cherry_CRS_phenotyping_2011"
"506","FR35T105","Prunus avium","10.39","Sweet_cherry_CRS_phenotyping_2012"
"507","FR35T108","Prunus avium","8.5","Sweet_cherry_CRS_phenotyping_2011"
"508","FR35T108","Prunus avium","10.67","Sweet_cherry_CRS_phenotyping_2012"
"509","FR35T110","Prunus avium","8.99","Sweet_cherry_CRS_phenotyping_2011"
"510","FR35T110","Prunus avium","10.96","Sweet_cherry_CRS_phenotyping_2012"
"511","FR38T001","Prunus avium","9.35","Sweet_cherry_CRS_phenotyping_2012"
"512","FR38T002","Prunus avium","9.76","Sweet_cherry_CRS_phenotyping_2012"
"513","FR38T003","Prunus avium","10.1","Sweet_cherry_CRS_phenotyping_2012"
"514","FR38T005","Prunus avium","10.3","Sweet_cherry_CRS_phenotyping_2012"
"515","FR3T002","Prunus avium","9.3","Sweet_cherry_CRS_phenotyping_2011"
"516","FR3T002","Prunus avium","11.42","Sweet_cherry_CRS_phenotyping_2010"
"517","FR3T003","Prunus avium","7.95","Sweet_cherry_CRS_phenotyping_2011"
"518","FR3T003","Prunus avium","9.82","Sweet_cherry_CRS_phenotyping_2012"
"519","FR3T004","Prunus avium","8.21","Sweet_cherry_CRS_phenotyping_2011"
"520","FR3T004","Prunus avium","9.55","Sweet_cherry_CRS_phenotyping_2010"
"521","FR3T004","Prunus avium","9.68","Sweet_cherry_CRS_phenotyping_2012"
"522","FR3T005","Prunus avium","9.22","Sweet_cherry_CRS_phenotyping_2011"
"523","FR3T005","Prunus avium","9.35","Sweet_cherry_CRS_phenotyping_2012"
"524","FR3T007","Prunus avium","7.71","Sweet_cherry_CRS_phenotyping_2011"
"525","FR3T007","Prunus avium","9.72","Sweet_cherry_CRS_phenotyping_2012"
"526","FR3T008","Prunus avium","8.71","Sweet_cherry_CRS_phenotyping_2011"
"527","FR3T008","Prunus avium","10.26","Sweet_cherry_CRS_phenotyping_2012"
"528","FR3T009","Prunus avium","8.59","Sweet_cherry_CRS_phenotyping_2011"
"529","FR3T009","Prunus avium","9.33","Sweet_cherry_CRS_phenotyping_2012"
"530","FR3T011","Prunus avium","9.97","Sweet_cherry_CRS_phenotyping_2012"
"531","FR3T013","Prunus avium","9.12","Sweet_cherry_CRS_phenotyping_2011"
"532","FR3T013","Prunus avium","10.19","Sweet_cherry_CRS_phenotyping_2012"
"533","FR3T014","Prunus avium","8.57","Sweet_cherry_CRS_phenotyping_2011"
"534","FR3T014","Prunus avium","8.9","Sweet_cherry_CRS_phenotyping_2010"
"535","FR3T014","Prunus avium","9.79","Sweet_cherry_CRS_phenotyping_2012"
"536","FR3T015","Prunus avium","9.43","Sweet_cherry_CRS_phenotyping_2011"
"537","FR3T015","Prunus avium","9.85","Sweet_cherry_CRS_phenotyping_2012"
"538","FR3T016","Prunus avium","7.73","Sweet_cherry_CRS_phenotyping_2012"
"539","FR3T016","Prunus avium","8.96","Sweet_cherry_CRS_phenotyping_2011"
"540","FR3T016","Prunus avium","9.36","Sweet_cherry_CRS_phenotyping_2010"
"541","FR3T017","Prunus avium","10.31","Sweet_cherry_CRS_phenotyping_2012"
"542","FR3T018","Prunus avium","9.48","Sweet_cherry_CRS_phenotyping_2011"
"543","FR3T018","Prunus avium","10.95","Sweet_cherry_CRS_phenotyping_2010"
"544","FR3T018","Prunus avium","11.04","Sweet_cherry_CRS_phenotyping_2012"
"545","FR3T019","Prunus avium","9.47","Sweet_cherry_CRS_phenotyping_2012"
"546","FR3T020","Prunus avium","8.9","Sweet_cherry_CRS_phenotyping_2011"
"547","FR3T020","Prunus avium","9.82","Sweet_cherry_CRS_phenotyping_2012"
"548","FR3T020","Prunus avium","10.06","Sweet_cherry_CRS_phenotyping_2010"
"549","FR3T021","Prunus avium","8.71","Sweet_cherry_CRS_phenotyping_2011"
"550","FR3T021","Prunus avium","9.56","Sweet_cherry_CRS_phenotyping_2010"
"551","FR3T021","Prunus avium","10.04","Sweet_cherry_CRS_phenotyping_2012"
"552","FR3T022","Prunus avium","9.06","Sweet_cherry_CRS_phenotyping_2011"
"553","FR3T022","Prunus avium","11.32","Sweet_cherry_CRS_phenotyping_2012"
"554","FR3T023","Prunus avium","8.36","Sweet_cherry_CRS_phenotyping_2011"
"555","FR3T023","Prunus avium","9.66","Sweet_cherry_CRS_phenotyping_2012"
"556","FR3T025","Prunus avium","9.59","Sweet_cherry_CRS_phenotyping_2011"
"557","FR3T025","Prunus avium","10.29","Sweet_cherry_CRS_phenotyping_2010"
"558","FR3T025","Prunus avium","10.68","Sweet_cherry_CRS_phenotyping_2012"
"559","FR3T026","Prunus avium","9.37","Sweet_cherry_CRS_phenotyping_2011"
"560","FR3T026","Prunus avium","10.88","Sweet_cherry_CRS_phenotyping_2012"
"561","FR3T027","Prunus avium","8.91","Sweet_cherry_CRS_phenotyping_2011"
"562","FR3T027","Prunus avium","10.2","Sweet_cherry_CRS_phenotyping_2012"
"563","FR3T028","Prunus avium","9.44","Sweet_cherry_CRS_phenotyping_2012"
"564","FR3T029","Prunus avium","8.65","Sweet_cherry_CRS_phenotyping_2011"
"565","FR3T029","Prunus avium","8.82","Sweet_cherry_CRS_phenotyping_2012"
"566","FR3T029","Prunus avium","9.02","Sweet_cherry_CRS_phenotyping_2010"
"567","FR3T030","Prunus avium","7.78","Sweet_cherry_CRS_phenotyping_2011"
"568","FR3T030","Prunus avium","9.53","Sweet_cherry_CRS_phenotyping_2012"
"569","FR3T031","Prunus avium","8.29","Sweet_cherry_CRS_phenotyping_2011"
"570","FR3T031","Prunus avium","9.89","Sweet_cherry_CRS_phenotyping_2012"
"571","FR3T032","Prunus avium","8.88","Sweet_cherry_CRS_phenotyping_2011"
"572","FR3T032","Prunus avium","9.94","Sweet_cherry_CRS_phenotyping_2012"
"573","FR3T033","Prunus avium","7.29","Sweet_cherry_CRS_phenotyping_2011"
"574","FR3T033","Prunus avium","10.21","Sweet_cherry_CRS_phenotyping_2012"
"575","FR3T034","Prunus avium","8.65","Sweet_cherry_CRS_phenotyping_2011"
"576","FR3T034","Prunus avium","9.91","Sweet_cherry_CRS_phenotyping_2012"
"577","FR3T043","Prunus avium","9.21","Sweet_cherry_CRS_phenotyping_2011"
"578","FR3T043","Prunus avium","10.3","Sweet_cherry_CRS_phenotyping_2010"
"579","FR3T043","Prunus avium","10.78","Sweet_cherry_CRS_phenotyping_2012"
"580","FR3T044","Prunus avium","8.8","Sweet_cherry_CRS_phenotyping_2011"
"581","FR3T044","Prunus avium","9.42","Sweet_cherry_CRS_phenotyping_2012"
"582","FR3T046","Prunus avium","8.06","Sweet_cherry_CRS_phenotyping_2011"
"583","FR3T046","Prunus avium","9.51","Sweet_cherry_CRS_phenotyping_2012"
"584","FR3T047","Prunus avium","7.18","Sweet_cherry_CRS_phenotyping_2011"
"585","FR3T047","Prunus avium","8.96","Sweet_cherry_CRS_phenotyping_2012"
"586","FR3T050","Prunus avium","8.9","Sweet_cherry_CRS_phenotyping_2011"
"587","FR3T050","Prunus avium","10.43","Sweet_cherry_CRS_phenotyping_2010"
"588","FR3T050","Prunus avium","10.72","Sweet_cherry_CRS_phenotyping_2012"
"589","FR3T056","Prunus avium","9.3","Sweet_cherry_CRS_phenotyping_2010"
"590","FR3T056","Prunus avium","9.52","Sweet_cherry_CRS_phenotyping_2012"
"591","FR3T056","Prunus avium","9.59","Sweet_cherry_CRS_phenotyping_2011"
"592","FR3T057","Prunus avium","9.17","Sweet_cherry_CRS_phenotyping_2012"
"593","FR3T057","Prunus avium","9.75","Sweet_cherry_CRS_phenotyping_2010"
"594","FR3T057","Prunus avium","9.95","Sweet_cherry_CRS_phenotyping_2011"
"595","FR3T058","Prunus avium","8.88","Sweet_cherry_CRS_phenotyping_2011"
"596","FR3T058","Prunus avium","9.93","Sweet_cherry_CRS_phenotyping_2012"
"597","FR42T001","Prunus avium","8.03","Sweet_cherry_CRS_phenotyping_2011"
"598","FR42T003","Prunus avium","11.69","Sweet_cherry_CRS_phenotyping_2012"
"599","FR42T005","Prunus avium","10.36","Sweet_cherry_CRS_phenotyping_2012"
"600","FR42T007","Prunus avium","9.74","Sweet_cherry_CRS_phenotyping_2012"
"601","FR42T045","Prunus avium","8.93","Sweet_cherry_CRS_phenotyping_2012"
"602","FR42T048","Prunus avium","7.1","Sweet_cherry_CRS_phenotyping_2011"
"603","FR42T048","Prunus avium","9.39","Sweet_cherry_CRS_phenotyping_2012"
"604","FR47T058","Prunus avium","10.86","Sweet_cherry_CRS_phenotyping_2012"
"605","FR47T059","Prunus avium","9.76","Sweet_cherry_CRS_phenotyping_2012"
"606","FR5T019","Prunus avium","9.77","Sweet_cherry_CRS_phenotyping_2011"
"607","FR5T019","Prunus avium","9.81","Sweet_cherry_CRS_phenotyping_2012"
"608","FR5T021","Prunus avium","9.7","Sweet_cherry_CRS_phenotyping_2011"
"609","FR5T021","Prunus avium","9.94","Sweet_cherry_CRS_phenotyping_2010"
"610","FR5T021","Prunus avium","10.29","Sweet_cherry_CRS_phenotyping_2012"
"611","FR5T025","Prunus avium","8.76","Sweet_cherry_CRS_phenotyping_2011"
"612","FR5T025","Prunus avium","10.51","Sweet_cherry_CRS_phenotyping_2012"
"613","FR8T002","Prunus avium","8.74","Sweet_cherry_CRS_phenotyping_2011"
"614","FR8T002","Prunus avium","10.23","Sweet_cherry_CRS_phenotyping_2012"
"615","FR8T003","Prunus avium","8.7","Sweet_cherry_CRS_phenotyping_2011"
"616","FR8T003","Prunus avium","9.96","Sweet_cherry_CRS_phenotyping_2012"
"617","FR8T004","Prunus avium","9.97","Sweet_cherry_CRS_phenotyping_2012"
"618","FR8T005","Prunus avium","9.78","Sweet_cherry_CRS_phenotyping_2012"
"619","FR8T006","Prunus avium","8.59","Sweet_cherry_CRS_phenotyping_2012"
"620","FR8T007","Prunus avium","9.6","Sweet_cherry_CRS_phenotyping_2012"
"621","FR8T010","Prunus avium","9.47","Sweet_cherry_CRS_phenotyping_2012"
"622","FR8T011","Prunus avium","8.71","Sweet_cherry_CRS_phenotyping_2011"
"623","FR8T011","Prunus avium","10.6","Sweet_cherry_CRS_phenotyping_2012"
"624","FR8T047","Prunus avium","10.33","Sweet_cherry_CRS_phenotyping_2012"
"625","FR8T053","Prunus avium","10.21","Sweet_cherry_CRS_phenotyping_2012"
"626","FR8T057","Prunus avium","9.68","Sweet_cherry_CRS_phenotyping_2011"
"627","FR8T057","Prunus avium","9.96","Sweet_cherry_CRS_phenotyping_2012"
"628","FR9T031","Prunus avium","10.41","Sweet_cherry_CRS_phenotyping_2010"
"629","FR9T031","Prunus avium","11.38","Sweet_cherry_CRS_phenotyping_2012"
"630","FR9T032","Prunus avium","9.71","Sweet_cherry_CRS_phenotyping_2010"
"631","FR9T032","Prunus avium","11.01","Sweet_cherry_CRS_phenotyping_2011"
"632","FR9T032","Prunus avium","11.05","Sweet_cherry_CRS_phenotyping_2012"
"633","FR9T033","Prunus avium","8.05","Sweet_cherry_CRS_phenotyping_2012"
"634","FR9T033","Prunus avium","10.36","Sweet_cherry_CRS_phenotyping_2011"
"635","FR9T034","Prunus avium","9.2","Sweet_cherry_CRS_phenotyping_2011"
"636","FR9T034","Prunus avium","9.57","Sweet_cherry_CRS_phenotyping_2012"
"637","FR9T081","Prunus avium","9.4","Sweet_cherry_CRS_phenotyping_2012"
"638","FR9T081","Prunus avium","9.87","Sweet_cherry_CRS_phenotyping_2011"
"639","FR9T083","Prunus avium","9.15","Sweet_cherry_CRS_phenotyping_2011"
"640","FR9T083","Prunus avium","9.18","Sweet_cherry_CRS_phenotyping_2012"
"641","FR9T084","Prunus avium","7.6","Sweet_cherry_CRS_phenotyping_2011"
"642","FR9T084","Prunus avium","9.61","Sweet_cherry_CRS_phenotyping_2012"
"643","FR9T085","Prunus avium","8.58","Sweet_cherry_CRS_phenotyping_2011"
"644","FR9T085","Prunus avium","9.73","Sweet_cherry_CRS_phenotyping_2012"
"645","FR9T086","Prunus avium","8.62","Sweet_cherry_CRS_phenotyping_2011"
"646","FR9T086","Prunus avium","9.8","Sweet_cherry_CRS_phenotyping_2012"
"647","FR9T087","Prunus avium","9.37","Sweet_cherry_CRS_phenotyping_2011"
"648","FR9T087","Prunus avium","9.79","Sweet_cherry_CRS_phenotyping_2012"
"649","FR9T096","Prunus avium","9.44","Sweet_cherry_CRS_phenotyping_2012"
"650","FR9T097","Prunus avium","7.93","Sweet_cherry_CRS_phenotyping_2011"
